LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
53,17,MPLS_0,100,16,1.57,83,147,49800,2400
54,17,MPLS_2,62,8,0.45,35,54,24500,3500
55,17,Internet,192,19,1.0,45,45,4500,0
56,18,MPLS_2,95,13,0.99,35,61,17500,5000
57,18,MPLS_0,81,10,0.53,24,36,14400,1800
58,18,Internet,140,17,5.0,52,52,5200,0
59,19,MPLS_0,92,15,2.05,100,159,50000,3000
60,19,MPLS_1,76,8,0.49,40,61,32000,2400
61,19,Internet,169,20,1.0,75,75,7500,0
62,20,MPLS_2,76,10,0.62,6,9,4200,2100
63,20,MPLS_0,125,14,1.99,30,48,18000,5400
64,20,MPLS_1,82,8,0.73,7,13,4200,6000
65,20,Internet,191,16,2.0,29,29,2900,0
66,21,MPLS_2,66,13,0.65,50,88,30000,6000
67,21,MPLS_0,136,16,1.48,113,171,90400,3200
68,21,Internet,163,14,10.0,145,145,14500,0
69,22,MPLS_2,87,8,0.64,58,113,34800,3600
70,22,MPLS_0,105,15,1.74,149,241,104300,3500
71,22,Internet,216,12,8.0,145,145,14500,0
72,23,MPLS_0,101,13,1.14,26,49,13000,5000
73,23,MPLS_2,71,9,0.43,5,8,2500,2500
74,23,MPLS_1,89,10,0.53,4,6,2400,2400
75,23,Internet,163,18,5.0,25,25,2500,0
76,24,MPLS_0,79,7,0.48,29,48,23200,7200
77,24,MPLS_2,120,13,1.01,62,97,49600,2400
78,24,Internet,199,20,7.0,64,64,6400,0
79,25,MPLS_1,86,8,0.73,2,3,1400,4200
80,25,MPLS_2,87,13,2.05,9,14,7200,7200
81,25,MPLS_0,67,10,0.44,2,3,1200,3000
82,25,Internet,206,19,3.0,7,7,700,0
83,26,MPLS_0,60,12,0.74,5,8,3000,3000
84,26,MPLS_2,88,14,1.11,16,27,9600,3600
85,26,Internet,195,17,1.0,8,8,800,0
86,27,MPLS_1,86,13,1.02,40,61,24000,5400
87,27,MPLS_0,75,7,0.46,11,18,7700,5600
88,27,Internet,210,16,2.0,23,23,2300,0
89,28,MPLS_2,95,13,1.15,204,341,163200,2400
90,28,MPLS_1,64,10,0.43,79,130,47400,2400
91,28,Internet,177,15,7.0,148,148,14800,0
92,29,MPLS_1,126,14,0.9,40,76,20000,2000
93,29,MPLS_2,85,10,0.41,22,34,15400,3500
94,29,Internet,186,17,5.0,42,42,4200,0
95,30,MPLS_1,61,13,0.63,64,125,32000,3000
96,30,Internet,207,12,6.0,30,30,3000,0
97,31,MPLS_2,120,14,1.17,155,254,124000,3200
98,31,MPLS_0,81,7,0.79,67,125,40200,1800
99,31,Internet,189,13,6.0,150,150,15000,0
100,32,MPLS_2,96,12,1.77,23,40,18400,8000
101,32,MPLS_1,85,9,0.63,9,17,6300,7000
102,32,Internet,179,20,6.0,20,20,2000,0
103,33,MPLS_2,146,15,1.8,27,42,13500,4000
104,33,MPLS_0,72,12,0.63,5,7,4000,4000
105,33,MPLS_1,85,12,0.45,5,8,2500,2000
106,33,Internet,213,15,7.0,28,28,2800,0
107,34,MPLS_2,73,12,0.77,12,21,7200,5400
108,34,MPLS_1,77,9,0.79,11,16,5500,1500
109,34,MPLS_0,121,14,1.56,63,119,44100,3500
110,34,Internet,176,20,6.0,56,56,5600,0
111,35,MPLS_2,89,13,0.41,12,23,6000,4000
112,35,MPLS_1,120,14,1.34,37,67,25900,6300
113,35,Internet,190,18,7.0,32,32,3200,0
114,36,MPLS_1,72,10,0.62,59,115,41300,2100
115,36,MPLS_0,98,14,1.48,188,310,94000,2500
116,36,Internet,140,19,6.0,158,158,15800,0
117,37,MPLS_2,99,16,1.12,14,27,7000,4000
118,37,MPLS_0,63,7,0.5,4,6,2400,4800
119,37,Internet,151,12,5.0,8,8,800,0
120,38,MPLS_2,73,12,0.43,59,98,35400,6000
121,38,MPLS_1,110,14,1.41,179,334,143200,6400
122,38,Internet,165,15,9.0,84,84,8400,0
123,39,MPLS_2,64,9,0.74,15,23,12000,6400
124,39,MPLS_0,88,13,0.83,38,60,26600,6300
125,39,Internet,146,15,7.0,31,31,3100,0
126,40,MPLS_2,69,7,0.53,22,42,17600,4000
127,40,MPLS_1,68,8,0.61,19,37,13300,7000
128,40,MPLS_0,133,14,1.57,109,180,65400,4200
129,40,Internet,187,18,2.0,76,76,7600,0
130,41,MPLS_1,82,12,0.54,4,7,2000,4000
131,41,MPLS_0,81,7,0.69,3,5,2100,2100
132,41,MPLS_2,121,16,1.04,24,36,12000,3000
133,41,Internet,202,16,7.0,16,16,1600,0
134,42,MPLS_1,66,10,0.79,2,3,1000,3000
135,42,MPLS_0,112,13,1.26,17,29,8500,4000
136,42,MPLS_2,83,9,0.71,2,3,1600,7200
137,42,Internet,189,19,3.0,17,17,1700,0
138,43,MPLS_1,78,7,0.79,10,18,8000,4000
139,43,MPLS_2,64,10,0.42,10,17,5000,3500
140,43,MPLS_0,91,16,1.64,58,88,46400,4000
141,43,Internet,151,19,2.0,53,53,5300,0
142,44,MPLS_2,66,8,0.57,22,36,13200,6000
143,44,Internet,178,18,10.0,14,14,1400,0
144,45,MPLS_0,143,12,1.02,21,39,14700,4900
145,45,MPLS_1,62,13,0.66,7,13,4200,4200
146,45,Internet,182,17,4.0,21,21,2100,0
147,46,MPLS_1,80,9,0.77,7,11,5600,8000
148,46,MPLS_2,105,14,1.27,19,32,11400,6000
149,46,Internet,206,12,4.0,15,15,1500,0
150,47,MPLS_2,63,9,0.65,32,52,16000,5000
151,47,MPLS_0,136,15,1.0,80,135,48000,3000
152,47,Internet,197,19,7.0,53,53,5300,0
153,48,MPLS_1,83,13,0.43,15,23,10500,2100
154,48,MPLS_0,73,7,0.72,18,29,10800,3000
155,48,MPLS_2,89,13,0.99,93,141,65100,2800
156,48,Internet,172,19,3.0,70,70,7000,0
157,49,MPLS_0,77,13,0.52,16,30,11200,2800
158,49,MPLS_2,100,16,1.0,77,123,53900,2800
159,49,MPLS_1,87,7,0.48,16,30,11200,3500
160,49,Internet,197,13,3.0,54,54,5400,0
