LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
145,44,Internet,218,17,7.0,14,14,1400,0
146,45,MPLS_0,88,10,0.58,9,13,7200,7200
147,45,MPLS_1,110,13,1.55,21,38,12600,3600
148,45,Internet,144,17,7.0,17,17,1700,0
149,46,MPLS_0,81,13,0.66,7,11,4200,6000
150,46,MPLS_1,119,16,1.78,20,38,12000,1800
151,46,Internet,154,20,4.0,15,15,1500,0
152,47,MPLS_0,79,7,0.54,23,39,16100,3500
153,47,MPLS_2,105,16,2.03,73,133,58400,7200
154,47,Internet,220,14,4.0,65,65,6500,0
155,48,MPLS_1,85,10,0.67,35,53,28000,2400
156,48,MPLS_0,119,12,1.24,84,160,50400,5400
157,48,Internet,188,14,4.0,82,82,8200,0
158,49,MPLS_0,64,8,0.42,104,159,72800,2800
159,49,Internet,173,16,4.0,65,65,6500,0
160,50,MPLS_2,95,15,1.24,225,420,112500,4500
161,50,MPLS_0,66,12,0.45,33,54,16500,4000
162,50,MPLS_1,80,9,0.47,41,71,24600,3000
163,50,Internet,149,13,10.0,120,120,12000,0
164,51,MPLS_2,86,12,0.56,54,98,43200,3200
165,51,MPLS_1,149,13,2.1,162,280,97200,4800
166,51,Internet,197,20,10.0,169,169,16900,0
167,52,MPLS_2,78,9,0.63,33,54,16500,3000
168,52,Internet,188,18,10.0,27,27,2700,0
169,53,MPLS_1,144,14,1.68,65,109,52000,4000
170,53,MPLS_2,66,7,0.55,20,39,14000,4200
171,53,Internet,152,13,9.0,49,49,4900,0
172,54,MPLS_0,69,9,0.46,1,1,500,2500
173,54,MPLS_2,102,15,1.37,3,4,1500,3000
174,54,Internet,200,16,7.0,2,2,200,0
175,55,MPLS_0,74,10,0.77,3,5,2100,3500
176,55,MPLS_1,146,13,2.01,16,25,9600,2400
177,55,MPLS_2,71,7,0.47,4,7,2400,4800
178,55,Internet,171,12,1.0,10,10,1000,0
179,56,MPLS_0,104,13,0.83,255,476,127500,2500
180,56,MPLS_2,78,9,0.62,42,67,25200,5400
181,56,MPLS_1,83,12,0.42,51,89,30600,5400
182,56,Internet,144,17,3.0,245,245,24500,0
183,57,MPLS_1,73,7,0.53,12,23,6000,4500
184,57,Internet,186,18,5.0,10,10,1000,0
185,58,MPLS_0,86,8,0.76,34,58,20400,1800
186,58,MPLS_1,151,13,1.1,86,150,43000,3500
187,58,Internet,163,13,9.0,70,70,7000,0
188,59,MPLS_2,77,12,0.5,10,15,5000,5000
189,59,MPLS_0,142,12,1.94,31,52,21700,5600
190,59,Internet,172,15,4.0,18,18,1800,0
191,60,MPLS_1,131,15,1.37,30,51,21000,2100
192,60,MPLS_0,66,7,0.74,13,22,7800,4800
193,60,Internet,169,16,3.0,31,31,3100,0
194,61,MPLS_2,87,11,0.66,137,259,82200,4200
195,61,MPLS_1,142,12,1.39,225,361,180000,6400
196,61,Internet,185,17,3.0,213,213,21300,0
197,62,MPLS_1,82,12,0.64,10,15,5000,4500
198,62,MPLS_0,116,13,1.89,24,42,19200,4000
199,62,Internet,206,18,4.0,21,21,2100,0
200,63,MPLS_1,80,7,0.45,31,55,21700,2800
201,63,MPLS_0,120,16,1.57,103,174,51500,1500
202,63,Internet,184,19,2.0,83,83,8300,0
203,64,MPLS_1,80,7,0.63,10,19,6000,4800
204,64,MPLS_0,120,14,1.43,40,63,24000,5400
205,64,MPLS_2,84,11,0.6,8,12,4000,5000
206,64,Internet,146,13,8.0,35,35,3500,0
207,65,MPLS_2,141,13,1.52,35,60,17500,3000
208,65,MPLS_0,68,9,0.45,7,13,5600,4800
209,65,MPLS_1,64,9,0.67,6,11,4800,4800
210,65,Internet,190,20,7.0,25,25,2500,0
211,66,MPLS_0,75,9,0.48,5,8,3500,2100
212,66,MPLS_2,111,15,1.16,19,31,9500,3000
213,66,MPLS_1,65,8,0.65,6,11,3600,1800
214,66,Internet,147,13,1.0,22,22,2200,0
215,67,MPLS_0,89,8,0.67,5,9,4000,6400
216,67,MPLS_2,82,8,0.71,6,10,4800,7200
217,67,MPLS_1,84,12,1.04,36,56,28800,7200
218,67,Internet,173,14,8.0,21,21,2100,0
219,68,MPLS_2,86,12,0.65,41,76,24600,5400
220,68,MPLS_1,82,13,0.5,52,95,41600,3200
221,68,MPLS_0,134,13,1.03,202,322,121200,4200
222,68,Internet,159,19,2.0,130,130,13000,0
223,69,MPLS_2,114,12,1.63,211,354,105500,4500
224,69,MPLS_0,74,11,0.42,93,143,65100,2800
225,69,Internet,183,13,3.0,215,215,21500,0
226,70,MPLS_2,73,8,0.64,75,118,37500,3000
227,70,Internet,201,13,4.0,37,37,3700,0
228,71,MPLS_0,81,12,0.41,3,5,1500,5000
229,71,MPLS_2,66,13,0.67,3,4,2100,2100
230,71,MPLS_1,143,13,2.04,14,25,7000,3500
231,71,Internet,186,17,1.0,8,8,800,0
232,72,MPLS_2,121,16,1.83,10,17,8000,4800
233,72,MPLS_1,76,13,0.63,2,3,1600,6400
234,72,MPLS_0,77,7,0.52,2,3,1400,4200
235,72,Internet,171,16,1.0,6,6,600,0
236,73,MPLS_2,87,13,0.76,18,28,9000,3000
237,73,MPLS_0,119,14,0.93,47,79,32900,4900
238,73,Internet,167,15,6.0,37,37,3700,0
239,74,MPLS_1,76,7,0.42,4,6,2800,4200
240,74,MPLS_0,104,16,1.22,21,39,16800,4000
241,74,MPLS_2,64,12,0.72,4,6,3200,4000
242,74,Internet,162,20,4.0,23,23,2300,0
243,75,MPLS_0,70,7,0.6,28,48,14000,2000
244,75,MPLS_1,132,14,1.18,72,113,36000,2500
245,75,Internet,142,17,3.0,65,65,6500,0
246,76,MPLS_1,84,12,1.92,39,68,23400,4800
247,76,MPLS_0,79,11,0.58,13,23,6500,2500
248,76,Internet,154,19,1.0,26,26,2600,0
249,77,MPLS_1,81,9,0.41,21,38,16800,7200
250,77,MPLS_2,88,14,1.08,39,62,19500,5000
251,77,Internet,154,16,8.0,28,28,2800,0
252,78,MPLS_0,84,11,0.56,433,706,259800,2400
253,78,Internet,212,17,2.0,225,225,22500,0
254,79,MPLS_0,85,9,0.44,4,6,3200,4000
255,79,MPLS_2,139,12,2.1,11,21,8800,3200
256,79,Internet,180,16,10.0,6,6,600,0
257,80,MPLS_1,82,13,0.47,34,64,20400,4200
258,80,MPLS_0,84,13,1.49,81,144,56700,4200
259,80,Internet,158,16,4.0,48,48,4800,0
260,81,MPLS_2,68,10,0.46,6,11,3600,3600
261,81,MPLS_0,128,14,2.04,13,23,7800,3000
262,81,Internet,180,16,2.0,13,13,1300,0
263,82,MPLS_0,86,12,0.44,6,11,3600,3600
264,82,MPLS_1,95,14,1.58,19,35,13300,7000
265,82,Internet,194,17,4.0,14,14,1400,0
266,83,MPLS_0,75,10,0.41,58,90,34800,3000
267,83,MPLS_1,87,11,0.68,55,106,44000,2400
268,83,MPLS_2,113,12,1.73,283,469,141500,5000
269,83,Internet,197,14,1.0,207,207,20700,0
270,84,MPLS_2,86,16,1.43,115,186,80500,6300
271,84,MPLS_0,68,11,0.48,17,26,8500,3000
272,84,MPLS_1,76,10,0.77,16,24,11200,2100
273,84,Internet,163,12,8.0,62,62,6200,0
274,85,MPLS_1,84,11,0.78,113,217,56500,3500
275,85,Internet,215,13,2.0,48,48,4800,0
276,86,MPLS_0,142,15,1.47,452,759,316400,3500
277,86,MPLS_2,89,8,0.55,216,331,108000,4500
278,86,Internet,144,12,1.0,447,447,44700,0
279,87,MPLS_2,77,12,0.75,13,19,7800,4800
280,87,MPLS_0,104,13,1.89,55,105,27500,4500
281,87,MPLS_1,80,10,0.76,12,23,8400,4900
282,87,Internet,186,13,5.0,56,56,5600,0
283,88,MPLS_2,64,10,0.47,238,460,142800,2400
284,88,Internet,142,17,8.0,181,181,18100,0
285,89,MPLS_2,60,13,0.61,43,74,34400,4000
286,89,Internet,191,12,8.0,25,25,2500,0
287,90,MPLS_2,66,11,0.54,15,25,9000,2400
288,90,MPLS_1,91,16,1.44,69,137,41400,4800
289,90,MPLS_0,77,8,0.41,15,25,12000,7200
290,90,Internet,140,14,4.0,57,57,5700,0
291,91,MPLS_0,88,8,0.66,7,11,4200,1800
292,91,MPLS_2,87,16,0.98,22,34,11000,5000
293,91,Internet,140,14,3.0,16,16,1600,0
294,92,MPLS_0,65,11,0.52,3,4,2100,5600
295,92,MPLS_2,100,12,1.95,17,25,8500,4500
296,92,MPLS_1,67,12,0.51,4,6,2800,6300
297,92,Internet,184,12,3.0,15,15,1500,0
298,93,MPLS_2,123,14,0.85,19,33,11400,5400
299,93,MPLS_0,63,13,0.68,7,11,3500,5000
300,93,Internet,147,13,6.0,17,17,1700,0
301,94,MPLS_0,122,15,1.03,4,6,2000,4000
302,94,MPLS_1,85,11,0.61,2,3,1600,8000
303,94,Internet,190,15,3.0,3,3,300,0
304,95,MPLS_0,113,13,1.52,9,15,6300,2800
305,95,MPLS_2,87,7,0.44,5,8,3000,4800
306,95,Internet,140,14,10.0,10,10,1000,0
307,96,MPLS_2,86,9,0.52,2,3,1600,4800
308,96,MPLS_1,110,14,1.54,13,20,7800,2400
309,96,MPLS_0,61,10,0.7,2,3,1000,5000
310,96,Internet,190,12,7.0,12,12,1200,0
311,97,MPLS_2,81,8,0.79,23,40,13800,4800
312,97,MPLS_1,123,13,1.18,80,121,56000,2100
313,97,Internet,143,19,4.0,70,70,7000,0
314,98,MPLS_0,113,12,1.44,198,369,158400,7200
315,98,MPLS_2,74,7,0.66,60,106,48000,7200
316,98,Internet,181,16,9.0,131,131,13100,0
317,99,MPLS_1,85,12,0.59,23,38,18400,4000
318,99,MPLS_0,120,15,1.34,55,109,33000,4200
319,99,Internet,143,19,2.0,32,32,3200,0
320,100,MPLS_2,149,13,1.96,80,158,40000,4500
321,100,MPLS_0,87,12,0.74,22,42,15400,4900
322,100,Internet,189,17,5.0,58,58,5800,0
323,101,MPLS_1,72,10,0.73,5,8,3000,6000
324,101,MPLS_2,89,12,0.49,5,9,4000,7200
325,101,MPLS_0,144,16,1.57,31,59,18600,4800
326,101,Internet,204,18,10.0,28,28,2800,0
327,102,MPLS_1,135,14,1.2,128,203,64000,1500
328,102,MPLS_0,82,12,0.62,45,88,27000,5400
329,102,Internet,154,17,9.0,84,84,8400,0
330,103,MPLS_1,87,8,0.64,3,5,1500,3000
331,103,MPLS_0,119,16,1.65,6,10,3000,2500
332,103,Internet,148,12,7.0,8,8,800,0
333,104,MPLS_1,84,9,0.75,4,6,2400,4800
334,104,MPLS_2,122,16,2.08,16,25,8000,4500
335,104,Internet,145,12,7.0,11,11,1100,0
336,105,MPLS_0,88,12,1.39,38,62,26600,2100
337,105,MPLS_2,68,13,0.72,16,29,12800,2400
338,105,Internet,164,18,4.0,26,26,2600,0
339,106,MPLS_1,95,16,1.84,89,164,53400,2400
340,106,MPLS_2,68,11,0.69,36,68,25200,2100
341,106,Internet,167,18,5.0,77,77,7700,0
342,107,MPLS_1,82,7,0.72,3,4,1500,5000
343,107,MPLS_0,132,12,1.53,9,14,7200,4800
344,107,Internet,150,15,8.0,10,10,1000,0
345,108,MPLS_1,82,13,0.64,4,6,2400,2400
346,108,MPLS_0,151,15,1.2,17,33,11900,4200
347,108,MPLS_2,85,8,0.56,4,6,2800,2100
348,108,Internet,213,19,3.0,16,16,1600,0
349,109,MPLS_0,78,7,0.78,4,6,2400,6000
350,109,MPLS_2,103,13,1.38,9,16,4500,5000
351,109,Internet,184,20,6.0,6,6,600,0
352,110,MPLS_0,109,14,1.85,158,251,110600,4900
353,110,MPLS_2,84,7,0.49,64,120,51200,5600
354,110,Internet,148,20,3.0,107,107,10700,0
355,111,MPLS_0,80,8,0.64,59,100,29500,2500
356,111,MPLS_2,139,15,1.67,235,442,188000,7200
357,111,MPLS_1,89,7,0.79,68,128,47600,5600
358,111,Internet,186,17,9.0,231,231,23100,0
359,112,MPLS_1,83,14,0.9,43,78,21500,5000
360,112,MPLS_2,81,13,0.75,18,33,12600,4900
361,112,Internet,215,14,1.0,54,54,5400,0
362,113,MPLS_1,117,14,1.85,54,97,32400,3600
363,113,MPLS_0,87,7,0.58,23,41,13800,3600
364,113,Internet,197,13,10.0,33,33,3300,0
365,114,MPLS_2,74,9,0.63,200,337,100000,3500
366,114,MPLS_0,117,16,0.89,484,766,242000,3500
367,114,Internet,145,17,8.0,278,278,27800,0
368,115,MPLS_0,62,9,0.69,43,75,25800,3000
369,115,MPLS_2,86,10,0.7,50,75,25000,3000
370,115,MPLS_1,133,13,1.22,190,320,152000,5600
371,115,Internet,208,17,5.0,137,137,13700,0
372,116,MPLS_0,81,10,0.64,94,176,75200,2400
373,116,MPLS_1,132,14,1.83,192,314,96000,3000
374,116,Internet,146,19,3.0,198,198,19800,0
375,117,MPLS_0,63,13,0.5,13,25,10400,4800
376,117,MPLS_2,80,9,0.49,11,19,8800,3200
377,117,MPLS_1,128,14,1.9,54,105,32400,3000
378,117,Internet,193,14,3.0,56,56,5600,0
379,118,MPLS_1,83,8,0.44,2,3,1000,3500
380,118,MPLS_2,148,16,1.16,6,10,3600,3600
381,118,Internet,211,18,2.0,4,4,400,0
382,119,MPLS_2,87,12,0.58,22,35,17600,4000
383,119,MPLS_0,81,7,0.76,19,33,9500,3500
384,119,MPLS_1,119,14,2.01,124,237,86800,3500
385,119,Internet,141,15,7.0,100,100,10000,0
386,120,MPLS_2,62,10,0.71,100,187,60000,4200
387,120,MPLS_0,116,13,1.46,311,514,155500,1500
388,120,Internet,159,17,4.0,255,255,25500,0
389,121,MPLS_0,92,13,1.97,56,90,39200,4200
390,121,MPLS_2,81,8,0.55,12,18,8400,6300
391,121,MPLS_1,84,11,0.41,9,15,4500,3000
392,121,Internet,200,16,1.0,37,37,3700,0
393,122,MPLS_1,89,13,0.45,18,30,12600,2800
394,122,MPLS_2,121,14,0.91,44,82,22000,3000
395,122,Internet,162,12,7.0,28,28,2800,0
396,123,MPLS_0,76,7,0.75,24,42,19200,7200
397,123,MPLS_2,83,12,0.51,21,37,14700,4900
398,123,MPLS_1,89,13,1.83,121,190,84700,6300
399,123,Internet,201,20,2.0,66,66,6600,0
400,124,MPLS_0,69,11,0.6,5,8,3000,4200
401,124,MPLS_2,102,14,1.49,27,49,18900,2800
402,124,MPLS_1,66,12,0.44,6,9,3000,3500
403,124,Internet,181,14,10.0,24,24,2400,0
404,125,MPLS_2,63,11,0.75,33,62,19800,3000
405,125,MPLS_0,100,15,1.29,79,148,47400,6000
406,125,Internet,145,18,1.0,47,47,4700,0
407,126,MPLS_1,67,12,0.77,28,53,14000,3000
408,126,MPLS_0,150,13,0.91,61,105,42700,5600
409,126,Internet,190,19,7.0,53,53,5300,0
410,127,MPLS_2,64,7,0.72,17,28,10200,2400
411,127,MPLS_0,84,8,0.74,22,38,17600,7200
412,127,MPLS_1,116,13,1.13,104,168,72800,2100
413,127,Internet,180,13,1.0,79,79,7900,0
414,128,MPLS_0,141,16,1.81,41,76,28700,5600
415,128,MPLS_1,80,9,0.57,14,21,11200,8000
416,128,Internet,145,17,2.0,23,23,2300,0
417,129,MPLS_2,63,13,0.53,8,13,6400,3200
418,129,MPLS_1,118,14,1.81,23,39,13800,5400
419,129,Internet,207,16,10.0,21,21,2100,0
420,130,MPLS_0,81,8,0.45,48,81,28800,4200
421,130,Internet,162,15,3.0,27,27,2700,0
422,131,MPLS_0,67,10,0.43,30,52,24000,5600
423,131,MPLS_2,120,12,1.35,78,128,39000,4000
424,131,Internet,177,13,5.0,66,66,6600,0
425,132,MPLS_1,74,12,0.74,30,56,24000,2400
426,132,MPLS_0,128,13,0.9,104,192,62400,6000
427,132,Internet,182,19,7.0,84,84,8400,0
428,133,MPLS_1,64,9,0.6,9,15,5400,3000
429,133,MPLS_0,83,15,0.96,22,41,17600,4000
430,133,Internet,182,20,10.0,18,18,1800,0
431,134,MPLS_1,116,12,1.0,9,14,4500,2000
432,134,MPLS_2,68,8,0.48,3,4,2400,2400
433,134,Internet,211,20,8.0,6,6,600,0
434,135,MPLS_2,60,7,0.6,14,25,11200,5600
435,135,MPLS_1,135,12,1.57,31,49,21700,7000
436,135,Internet,146,20,4.0,23,23,2300,0
437,136,MPLS_0,105,16,1.04,74,131,44400,4200
438,136,MPLS_1,66,11,0.7,33,51,19800,2400
439,136,Internet,194,15,6.0,76,76,7600,0
440,137,MPLS_1,84,9,0.45,58,100,46400,5600
441,137,MPLS_2,91,16,1.36,129,218,90300,4900
442,137,Internet,194,12,2.0,105,105,10500,0
443,138,MPLS_2,112,13,1.86,45,81,27000,2400
444,138,MPLS_1,73,13,0.62,20,30,12000,3000
445,138,Internet,188,16,6.0,26,26,2600,0
446,139,MPLS_1,79,7,0.53,9,17,5400,4800
447,139,Internet,196,16,7.0,3,3,300,0
448,140,MPLS_2,101,13,1.93,31,55,21700,5600
449,140,MPLS_1,66,13,0.69,17,32,10200,3000
450,140,Internet,175,16,8.0,34,34,3400,0
451,141,MPLS_0,79,13,0.62,37,64,22200,3600
452,141,Internet,152,16,1.0,21,21,2100,0
453,142,MPLS_0,75,13,0.49,11,17,7700,4900
454,142,MPLS_2,93,12,1.55,28,49,22400,5600
455,142,Internet,169,15,7.0,23,23,2300,0
456,143,MPLS_2,136,13,2.04,163,268,114100,4900
457,143,MPLS_0,68,9,0.49,32,61,19200,3000
458,143,MPLS_1,60,11,0.75,43,79,34400,8000
459,143,Internet,217,12,1.0,108,108,10800,0
460,144,MPLS_1,68,11,0.63,70,111,42000,6000
461,144,MPLS_0,142,12,0.87,186,311,111600,5400
462,144,Internet,147,15,8.0,181,181,18100,0
463,145,MPLS_0,87,16,1.06,49,93,24500,4500
464,145,MPLS_2,60,8,0.75,14,26,8400,1800
465,145,MPLS_1,84,11,0.64,15,29,9000,5400
466,145,Internet,165,12,3.0,39,39,3900,0
467,146,MPLS_2,146,16,1.38,68,109,54400,3200
468,146,MPLS_0,70,11,0.63,26,51,15600,2400
469,146,Internet,208,19,10.0,49,49,4900,0
470,147,MPLS_0,82,11,0.65,11,21,5500,2000
471,147,MPLS_1,101,12,1.91,29,50,20300,5600
472,147,Internet,175,16,8.0,21,21,2100,0
473,148,MPLS_0,66,7,0.65,111,202,88800,4000
474,148,MPLS_1,97,13,0.92,232,385,162400,6300
475,148,Internet,152,12,1.0,208,208,20800,0
476,149,MPLS_0,86,7,0.63,10,17,5000,4000
477,149,MPLS_1,80,14,1.18,52,91,26000,3000
478,149,MPLS_2,70,9,0.55,11,20,5500,2000
479,149,Internet,179,18,9.0,34,34,3400,0
480,150,MPLS_2,94,14,1.37,30,59,21000,7000
481,150,MPLS_0,75,10,0.6,9,15,4500,5000
482,150,Internet,156,13,3.0,20,20,2000,0
483,151,MPLS_0,133,12,1.6,32,51,19200,1800
484,151,MPLS_1,69,13,0.4,6,11,4800,5600
485,151,MPLS_2,89,13,0.4,7,12,4900,2800
486,151,Internet,185,18,10.0,31,31,3100,0
487,152,MPLS_2,81,13,0.42,21,32,10500,1500
488,152,MPLS_0,137,15,2.01,73,128,58400,7200
489,152,Internet,160,12,4.0,39,39,3900,0
490,153,MPLS_2,86,10,0.75,74,138,44400,1800
491,153,MPLS_1,108,15,1.26,189,303,151200,5600
492,153,Internet,203,17,9.0,140,140,14000,0
493,154,MPLS_1,81,9,0.54,68,115,34000,3000
494,154,MPLS_2,110,12,0.85,158,284,79000,3000
495,154,Internet,140,15,1.0,122,122,12200,0
496,155,MPLS_0,83,8,0.48,29,45,14500,3000
497,155,MPLS_1,96,13,0.84,95,184,57000,3600
498,155,Internet,169,19,6.0,69,69,6900,0
499,156,MPLS_1,61,9,0.44,62,101,43400,3500
500,156,MPLS_2,129,15,1.3,232,456,116000,4000
