site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
45,MPLS_1,110,13,1.55,21,38,12600,3600
45,Internet,144,17,7,17,17,1700,0
46,MPLS_0,81,13,0.66,7,11,4200,6000
46,MPLS_1,119,16,1.78,20,38,12000,1800
46,Internet,154,20,4,15,15,1500,0
47,MPLS_0,79,7,0.54,23,39,16100,3500
47,MPLS_2,105,16,2.03,73,133,58400,7200
47,Internet,220,14,4,65,65,6500,0
48,MPLS_1,85,10,0.67,35,53,28000,2400
48,MPLS_0,119,12,1.24,84,160,50400,5400
48,Internet,188,14,4,82,82,8200,0
49,MPLS_0,64,8,0.42,104,159,72800,2800
49,Internet,173,16,4,65,65,6500,0
50,MPLS_2,95,15,1.24,225,420,112500,4500
50,MPLS_0,66,12,0.45,33,54,16500,4000
50,MPLS_1,80,9,0.47,41,71,24600,3000
50,Internet,149,13,10,120,120,12000,0
51,MPLS_2,86,12,0.56,54,98,43200,3200
51,MPLS_1,149,13,2.1,162,280,97200,4800
51,Internet,197,20,10,169,169,16900,0
52,MPLS_2,78,9,0.63,33,54,16500,3000
52,Internet,188,18,10,27,27,2700,0
53,MPLS_1,144,14,1.68,65,109,52000,4000
53,MPLS_2,66,7,0.55,20,39,14000,4200
53,Internet,152,13,9,49,49,4900,0
54,MPLS_0,69,9,0.46,1,1,500,2500
54,MPLS_2,102,15,1.37,3,4,1500,3000
54,Internet,200,16,7,2,2,200,0
55,MPLS_0,74,10,0.77,3,5,2100,3500
55,MPLS_1,146,13,2.01,16,25,9600,2400
55,MPLS_2,71,7,0.47,4,7,2400,4800
55,Internet,171,12,1,10,10,1000,0
56,MPLS_0,104,13,0.83,255,476,127500,2500
56,MPLS_2,78,9,0.62,42,67,25200,5400
56,MPLS_1,83,12,0.42,51,89,30600,5400
56,Internet,144,17,3,245,245,24500,0
57,MPLS_1,73,7,0.53,12,23,6000,4500
57,Internet,186,18,5,10,10,1000,0
58,MPLS_0,86,8,0.76,34,58,20400,1800
58,MPLS_1,151,13,1.1,86,150,43000,3500
58,Internet,163,13,9,70,70,7000,0
59,MPLS_2,77,12,0.5,10,15,5000,5000
59,MPLS_0,142,12,1.94,31,52,21700,5600
59,Internet,172,15,4,18,18,1800,0
60,MPLS_1,131,15,1.37,30,51,21000,2100
60,MPLS_0,66,7,0.74,13,22,7800,4800
60,Internet,169,16,3,31,31,3100,0
61,MPLS_2,87,11,0.66,137,259,82200,4200
61,MPLS_1,142,12,1.39,225,361,180000,6400
61,Internet,185,17,3,213,213,21300,0
62,MPLS_1,82,12,0.64,10,15,5000,4500
62,MPLS_0,116,13,1.89,24,42,19200,4000
62,Internet,206,18,4,21,21,2100,0
63,MPLS_1,80,7,0.45,31,55,21700,2800
63,MPLS_0,120,16,1.57,103,174,51500,1500
63,Internet,184,19,2,83,83,8300,0
64,MPLS_1,80,7,0.63,10,19,6000,4800
64,MPLS_0,120,14,1.43,40,63,24000,5400
64,MPLS_2,84,11,0.6,8,12,4000,5000
64,Internet,146,13,8,35,35,3500,0
65,MPLS_2,141,13,1.52,35,60,17500,3000
65,MPLS_0,68,9,0.45,7,13,5600,4800
65,MPLS_1,64,9,0.67,6,11,4800,4800
65,Internet,190,20,7,25,25,2500,0
66,MPLS_0,75,9,0.48,5,8,3500,2100
66,MPLS_2,111,15,1.16,19,31,9500,3000
66,MPLS_1,65,8,0.65,6,11,3600,1800
66,Internet,147,13,1,22,22,2200,0
67,MPLS_0,89,8,0.67,5,9,4000,6400
67,MPLS_2,82,8,0.71,6,10,4800,7200
67,MPLS_1,84,12,1.04,36,56,28800,7200
67,Internet,173,14,8,21,21,2100,0
68,MPLS_2,86,12,0.65,41,76,24600,5400
68,MPLS_1,82,13,0.5,52,95,41600,3200
68,MPLS_0,134,13,1.03,202,322,121200,4200
68,Internet,159,19,2,130,130,13000,0
69,MPLS_2,114,12,1.63,211,354,105500,4500
69,MPLS_0,74,11,0.42,93,143,65100,2800
69,Internet,183,13,3,215,215,21500,0
70,MPLS_2,73,8,0.64,75,118,37500,3000
70,Internet,201,13,4,37,37,3700,0
71,MPLS_0,81,12,0.41,3,5,1500,5000
71,MPLS_2,66,13,0.67,3,4,2100,2100
71,MPLS_1,143,13,2.04,14,25,7000,3500
71,Internet,186,17,1,8,8,800,0
72,MPLS_2,121,16,1.83,10,17,8000,4800
72,MPLS_1,76,13,0.63,2,3,1600,6400
72,MPLS_0,77,7,0.52,2,3,1400,4200
72,Internet,171,16,1,6,6,600,0
73,MPLS_2,87,13,0.76,18,28,9000,3000
73,MPLS_0,119,14,0.93,47,79,32900,4900
73,Internet,167,15,6,37,37,3700,0
74,MPLS_1,76,7,0.42,4,6,2800,4200
74,MPLS_0,104,16,1.22,21,39,16800,4000
74,MPLS_2,64,12,0.72,4,6,3200,4000
74,Internet,162,20,4,23,23,2300,0
75,MPLS_0,70,7,0.6,28,48,14000,2000
75,MPLS_1,132,14,1.18,72,113,36000,2500
75,Internet,142,17,3,65,65,6500,0
76,MPLS_1,84,12,1.92,39,68,23400,4800
76,MPLS_0,79,11,0.58,13,23,6500,2500
76,Internet,154,19,1,26,26,2600,0
77,MPLS_1,81,9,0.41,21,38,16800,7200
77,MPLS_2,88,14,1.08,39,62,19500,5000
77,Internet,154,16,8,28,28,2800,0
78,MPLS_0,84,11,0.56,433,706,259800,2400
78,Internet,212,17,2,225,225,22500,0
79,MPLS_0,85,9,0.44,4,6,3200,4000
79,MPLS_2,139,12,2.1,11,21,8800,3200
79,Internet,180,16,10,6,6,600,0
80,MPLS_1,82,13,0.47,34,64,20400,4200
80,MPLS_0,84,13,1.49,81,144,56700,4200
80,Internet,158,16,4,48,48,4800,0
81,MPLS_2,68,10,0.46,6,11,3600,3600
81,MPLS_0,128,14,2.04,13,23,7800,3000
81,Internet,180,16,2,13,13,1300,0
82,MPLS_0,86,12,0.44,6,11,3600,3600
82,MPLS_1,95,14,1.58,19,35,13300,7000
82,Internet,194,17,4,14,14,1400,0
83,MPLS_0,75,10,0.41,58,90,34800,3000
83,MPLS_1,87,11,0.68,55,106,44000,2400
83,MPLS_2,113,12,1.73,283,469,141500,5000
83,Internet,197,14,1,207,207,20700,0
84,MPLS_2,86,16,1.43,115,186,80500,6300
84,MPLS_0,68,11,0.48,17,26,8500,3000
84,MPLS_1,76,10,0.77,16,24,11200,2100
84,Internet,163,12,8,62,62,6200,0
85,MPLS_1,84,11,0.78,113,217,56500,3500
85,Internet,215,13,2,48,48,4800,0
86,MPLS_0,142,15,1.47,452,759,316400,3500
86,MPLS_2,89,8,0.55,216,331,108000,4500
86,Internet,144,12,1,447,447,44700,0
87,MPLS_2,77,12,0.75,13,19,7800,4800
87,MPLS_0,104,13,1.89,55,105,27500,4500
87,MPLS_1,80,10,0.76,12,23,8400,4900
87,Internet,186,13,5,56,56,5600,0
88,MPLS_2,64,10,0.47,238,460,142800,2400
88,Internet,142,17,8,181,181,18100,0
89,MPLS_2,60,13,0.61,43,74,34400,4000
89,Internet,191,12,8,25,25,2500,0
90,MPLS_2,66,11,0.54,15,25,9000,2400
90,MPLS_1,91,16,1.44,69,137,41400,4800
90,MPLS_0,77,8,0.41,15,25,12000,7200
90,Internet,140,14,4,57,57,5700,0
91,MPLS_0,88,8,0.66,7,11,4200,1800
91,MPLS_2,87,16,0.98,22,34,11000,5000
91,Internet,140,14,3,16,16,1600,0
92,MPLS_0,65,11,0.52,3,4,2100,5600
92,MPLS_2,100,12,1.95,17,25,8500,4500
92,MPLS_1,67,12,0.51,4,6,2800,6300
92,Internet,184,12,3,15,15,1500,0
93,MPLS_2,123,14,0.85,19,33,11400,5400
93,MPLS_0,63,13,0.68,7,11,3500,5000
93,Internet,147,13,6,17,17,1700,0
94,MPLS_0,122,15,1.03,4,6,2000,4000
94,MPLS_1,85,11,0.61,2,3,1600,8000
94,Internet,190,15,3,3,3,300,0
95,MPLS_0,113,13,1.52,9,15,6300,2800
95,MPLS_2,87,7,0.44,5,8,3000,4800
95,Internet,140,14,10,10,10,1000,0
96,MPLS_2,86,9,0.52,2,3,1600,4800
96,MPLS_1,110,14,1.54,13,20,7800,2400
96,MPLS_0,61,10,0.7,2,3,1000,5000
96,Internet,190,12,7,12,12,1200,0
97,MPLS_2,81,8,0.79,23,40,13800,4800
97,MPLS_1,123,13,1.18,80,121,56000,2100
97,Internet,143,19,4,70,70,7000,0
98,MPLS_0,113,12,1.44,198,369,158400,7200
98,MPLS_2,74,7,0.66,60,106,48000,7200
98,Internet,181,16,9,131,131,13100,0
99,MPLS_1,85,12,0.59,23,38,18400,4000
99,MPLS_0,120,15,1.34,55,109,33000,4200
99,Internet,143,19,2,32,32,3200,0
100,MPLS_2,149,13,1.96,80,158,40000,4500
100,MPLS_0,87,12,0.74,22,42,15400,4900
100,Internet,189,17,5,58,58,5800,0
101,MPLS_1,72,10,0.73,5,8,3000,6000
101,MPLS_2,89,12,0.49,5,9,4000,7200
101,MPLS_0,144,16,1.57,31,59,18600,4800
101,Internet,204,18,10,28,28,2800,0
102,MPLS_1,135,14,1.2,128,203,64000,1500
102,MPLS_0,82,12,0.62,45,88,27000,5400
102,Internet,154,17,9,84,84,8400,0
103,MPLS_1,87,8,0.64,3,5,1500,3000
103,MPLS_0,119,16,1.65,6,10,3000,2500
103,Internet,148,12,7,8,8,800,0
104,MPLS_1,84,9,0.75,4,6,2400,4800
104,MPLS_2,122,16,2.08,16,25,8000,4500
104,Internet,145,12,7,11,11,1100,0
105,MPLS_0,88,12,1.39,38,62,26600,2100
105,MPLS_2,68,13,0.72,16,29,12800,2400
105,Internet,164,18,4,26,26,2600,0
106,MPLS_1,95,16,1.84,89,164,53400,2400
106,MPLS_2,68,11,0.69,36,68,25200,2100
106,Internet,167,18,5,77,77,7700,0
107,MPLS_1,82,7,0.72,3,4,1500,5000
107,MPLS_0,132,12,1.53,9,14,7200,4800
107,Internet,150,15,8,10,10,1000,0
108,MPLS_1,82,13,0.64,4,6,2400,2400
108,MPLS_0,151,15,1.2,17,33,11900,4200
108,MPLS_2,85,8,0.56,4,6,2800,2100
108,Internet,213,19,3,16,16,1600,0
109,MPLS_0,78,7,0.78,4,6,2400,6000
109,MPLS_2,103,13,1.38,9,16,4500,5000
109,Internet,184,20,6,6,6,600,0
110,MPLS_0,109,14,1.85,158,251,110600,4900
110,MPLS_2,84,7,0.49,64,120,51200,5600
110,Internet,148,20,3,107,107,10700,0
111,MPLS_0,80,8,0.64,59,100,29500,2500
111,MPLS_2,139,15,1.67,235,442,188000,7200
111,MPLS_1,89,7,0.79,68,128,47600,5600
111,Internet,186,17,9,231,231,23100,0
112,MPLS_1,83,14,0.9,43,78,21500,5000
112,MPLS_2,81,13,0.75,18,33,12600,4900
112,Internet,215,14,1,54,54,5400,0
113,MPLS_1,117,14,1.85,54,97,32400,3600
113,MPLS_0,87,7,0.58,23,41,13800,3600
113,Internet,197,13,10,33,33,3300,0
114,MPLS_2,74,9,0.63,200,337,100000,3500
114,MPLS_0,117,16,0.89,484,766,242000,3500
114,Internet,145,17,8,278,278,27800,0
115,MPLS_0,62,9,0.69,43,75,25800,3000
115,MPLS_2,86,10,0.7,50,75,25000,3000
115,MPLS_1,133,13,1.22,190,320,152000,5600
115,Internet,208,17,5,137,137,13700,0
116,MPLS_0,81,10,0.64,94,176,75200,2400
116,MPLS_1,132,14,1.83,192,314,96000,3000
116,Internet,146,19,3,198,198,19800,0
117,MPLS_0,63,13,0.5,13,25,10400,4800
117,MPLS_2,80,9,0.49,11,19,8800,3200
117,MPLS_1,128,14,1.9,54,105,32400,3000
117,Internet,193,14,3,56,56,5600,0
118,MPLS_1,83,8,0.44,2,3,1000,3500
118,MPLS_2,148,16,1.16,6,10,3600,3600
118,Internet,211,18,2,4,4,400,0
119,MPLS_2,87,12,0.58,22,35,17600,4000
119,MPLS_0,81,7,0.76,19,33,9500,3500
119,MPLS_1,119,14,2.01,124,237,86800,3500
119,Internet,141,15,7,100,100,10000,0
120,MPLS_2,62,10,0.71,100,187,60000,4200
120,MPLS_0,116,13,1.46,311,514,155500,1500
120,Internet,159,17,4,255,255,25500,0
121,MPLS_0,92,13,1.97,56,90,39200,4200
121,MPLS_2,81,8,0.55,12,18,8400,6300
121,MPLS_1,84,11,0.41,9,15,4500,3000
121,Internet,200,16,1,37,37,3700,0
122,MPLS_1,89,13,0.45,18,30,12600,2800
122,MPLS_2,121,14,0.91,44,82,22000,3000
122,Internet,162,12,7,28,28,2800,0
123,MPLS_0,76,7,0.75,24,42,19200,7200
123,MPLS_2,83,12,0.51,21,37,14700,4900
123,MPLS_1,89,13,1.83,121,190,84700,6300
123,Internet,201,20,2,66,66,6600,0
124,MPLS_0,69,11,0.6,5,8,3000,4200
124,MPLS_2,102,14,1.49,27,49,18900,2800
124,MPLS_1,66,12,0.44,6,9,3000,3500
124,Internet,181,14,10,24,24,2400,0
125,MPLS_2,63,11,0.75,33,62,19800,3000
125,MPLS_0,100,15,1.29,79,148,47400,6000
125,Internet,145,18,1,47,47,4700,0
126,MPLS_1,67,12,0.77,28,53,14000,3000
126,MPLS_0,150,13,0.91,61,105,42700,5600
126,Internet,190,19,7,53,53,5300,0
127,MPLS_2,64,7,0.72,17,28,10200,2400
127,MPLS_0,84,8,0.74,22,38,17600,7200
127,MPLS_1,116,13,1.13,104,168,72800,2100
127,Internet,180,13,1,79,79,7900,0
128,MPLS_0,141,16,1.81,41,76,28700,5600
128,MPLS_1,80,9,0.57,14,21,11200,8000
128,Internet,145,17,2,23,23,2300,0
129,MPLS_2,63,13,0.53,8,13,6400,3200
129,MPLS_1,118,14,1.81,23,39,13800,5400
129,Internet,207,16,10,21,21,2100,0
130,MPLS_0,81,8,0.45,48,81,28800,4200
130,Internet,162,15,3,27,27,2700,0
131,MPLS_0,67,10,0.43,30,52,24000,5600
131,MPLS_2,120,12,1.35,78,128,39000,4000
131,Internet,177,13,5,66,66,6600,0
132,MPLS_1,74,12,0.74,30,56,24000,2400
132,MPLS_0,128,13,0.9,104,192,62400,6000
132,Internet,182,19,7,84,84,8400,0
133,MPLS_1,64,9,0.6,9,15,5400,3000
133,MPLS_0,83,15,0.96,22,41,17600,4000
133,Internet,182,20,10,18,18,1800,0
134,MPLS_1,116,12,1,9,14,4500,2000
134,MPLS_2,68,8,0.48,3,4,2400,2400
134,Internet,211,20,8,6,6,600,0
135,MPLS_2,60,7,0.6,14,25,11200,5600
135,MPLS_1,135,12,1.57,31,49,21700,7000
135,Internet,146,20,4,23,23,2300,0
136,MPLS_0,105,16,1.04,74,131,44400,4200
136,MPLS_1,66,11,0.7,33,51,19800,2400
136,Internet,194,15,6,76,76,7600,0
137,MPLS_1,84,9,0.45,58,100,46400,5600
137,MPLS_2,91,16,1.36,129,218,90300,4900
137,Internet,194,12,2,105,105,10500,0
138,MPLS_2,112,13,1.86,45,81,27000,2400
138,MPLS_1,73,13,0.62,20,30,12000,3000
138,Internet,188,16,6,26,26,2600,0
139,MPLS_1,79,7,0.53,9,17,5400,4800
139,Internet,196,16,7,3,3,300,0
140,MPLS_2,101,13,1.93,31,55,21700,5600
140,MPLS_1,66,13,0.69,17,32,10200,3000
140,Internet,175,16,8,34,34,3400,0
141,MPLS_0,79,13,0.62,37,64,22200,3600
141,Internet,152,16,1,21,21,2100,0
142,MPLS_0,75,13,0.49,11,17,7700,4900
142,MPLS_2,93,12,1.55,28,49,22400,5600
142,Internet,169,15,7,23,23,2300,0
143,MPLS_2,136,13,2.04,163,268,114100,4900
143,MPLS_0,68,9,0.49,32,61,19200,3000
143,MPLS_1,60,11,0.75,43,79,34400,8000
143,Internet,217,12,1,108,108,10800,0
144,MPLS_1,68,11,0.63,70,111,42000,6000
144,MPLS_0,142,12,0.87,186,311,111600,5400
144,Internet,147,15,8,181,181,18100,0
145,MPLS_0,87,16,1.06,49,93,24500,4500
145,MPLS_2,60,8,0.75,14,26,8400,1800
145,MPLS_1,84,11,0.64,15,29,9000,5400
145,Internet,165,12,3,39,39,3900,0
146,MPLS_2,146,16,1.38,68,109,54400,3200
146,MPLS_0,70,11,0.63,26,51,15600,2400
146,Internet,208,19,10,49,49,4900,0
147,MPLS_0,82,11,0.65,11,21,5500,2000
147,MPLS_1,101,12,1.91,29,50,20300,5600
147,Internet,175,16,8,21,21,2100,0
148,MPLS_0,66,7,0.65,111,202,88800,4000
148,MPLS_1,97,13,0.92,232,385,162400,6300
148,Internet,152,12,1,208,208,20800,0
149,MPLS_0,86,7,0.63,10,17,5000,4000
149,MPLS_1,80,14,1.18,52,91,26000,3000
149,MPLS_2,70,9,0.55,11,20,5500,2000
149,Internet,179,18,9,34,34,3400,0
150,MPLS_2,94,14,1.37,30,59,21000,7000
150,MPLS_0,75,10,0.6,9,15,4500,5000
150,Internet,156,13,3,20,20,2000,0
151,MPLS_0,133,12,1.6,32,51,19200,1800
151,MPLS_1,69,13,0.4,6,11,4800,5600
151,MPLS_2,89,13,0.4,7,12,4900,2800
151,Internet,185,18,10,31,31,3100,0
152,MPLS_2,81,13,0.42,21,32,10500,1500
152,MPLS_0,137,15,2.01,73,128,58400,7200
152,Internet,160,12,4,39,39,3900,0
153,MPLS_2,86,10,0.75,74,138,44400,1800
153,MPLS_1,108,15,1.26,189,303,151200,5600
153,Internet,203,17,9,140,140,14000,0
154,MPLS_1,81,9,0.54,68,115,34000,3000
154,MPLS_2,110,12,0.85,158,284,79000,3000
154,Internet,140,15,1,122,122,12200,0
155,MPLS_0,83,8,0.48,29,45,14500,3000
155,MPLS_1,96,13,0.84,95,184,57000,3600
155,Internet,169,19,6,69,69,6900,0
156,MPLS_1,61,9,0.44,62,101,43400,3500
156,MPLS_2,129,15,1.3,232,456,116000,4000
156,Internet,149,12,8,193,193,19300,0
157,MPLS_0,74,13,0.65,6,9,4200,4900
157,MPLS_1,85,12,1.7,15,29,10500,6300
157,Internet,179,15,3,15,15,1500,0
158,MPLS_1,71,8,0.75,5,8,3500,7000
158,MPLS_2,86,12,1.36,11,20,5500,3500
158,Internet,149,13,7,10,10,1000,0
159,MPLS_2,85,11,0.49,2,3,1000,2000
159,MPLS_0,116,13,1.03,9,16,4500,3000
159,Internet,154,20,5,7,7,700,0
160,MPLS_0,104,15,1.92,155,249,93000,3000
160,MPLS_1,62,8,0.76,65,129,45500,5600
160,Internet,192,13,3,175,175,17500,0
161,MPLS_0,80,10,0.71,3,4,1500,2000
161,MPLS_1,82,7,0.67,3,4,2100,6300
161,MPLS_2,87,15,2.02,18,30,14400,4800
161,Internet,149,18,9,16,16,1600,0
162,MPLS_1,70,8,0.55,1,1,500,2000
162,MPLS_0,108,13,1.66,3,4,1500,4500
162,Internet,149,17,5,4,4,400,0
163,MPLS_0,96,12,1.1,210,400,147000,5600
163,MPLS_2,89,9,0.72,103,188,51500,1500
163,Internet,212,17,6,236,236,23600,0
164,MPLS_1,85,12,0.6,3,5,2400,3200
164,MPLS_2,88,12,0.8,11,19,5500,1500
164,Internet,180,18,3,11,11,1100,0
165,MPLS_0,70,11,0.48,6,11,3000,5000
165,MPLS_2,105,13,1.66,18,34,9000,3000
165,Internet,209,19,3,14,14,1400,0
166,MPLS_2,85,7,0.62,4,6,2800,3500
166,MPLS_0,75,11,0.42,3,5,1800,3600
166,MPLS_1,131,16,1.7,24,38,16800,6300
166,Internet,195,19,10,12,12,1200,0
167,MPLS_2,94,15,0.89,22,39,13200,5400
167,MPLS_1,68,8,0.78,7,10,5600,5600
167,Internet,161,13,2,23,23,2300,0
168,MPLS_1,78,7,0.46,13,20,9100,5600
168,MPLS_0,142,12,1.24,32,58,22400,6300
168,Internet,214,15,2,18,18,1800,0
169,MPLS_2,88,15,1.18,48,84,38400,7200
169,MPLS_1,73,12,0.63,23,38,18400,7200
169,Internet,171,19,6,33,33,3300,0
170,MPLS_0,105,14,1.46,272,463,217600,4800
170,MPLS_1,65,10,0.78,86,156,43000,4500
170,Internet,152,12,8,193,193,19300,0
171,MPLS_1,139,16,1.1,6,11,4200,4200
171,MPLS_2,73,7,0.75,2,3,1600,3200
171,Internet,149,17,1,3,3,300,0
172,MPLS_2,88,13,0.55,21,40,14700,2100
172,MPLS_1,107,16,1.86,68,103,34000,2000
172,Internet,214,13,5,49,49,4900,0
173,MPLS_2,149,13,1.33,17,28,11900,4200
173,MPLS_0,63,8,0.7,3,4,1800,3000
