site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
56,MPLS_1,141,12,1.85,311,505,248800,5600
56,Internet,189,14,2,221,221,22100,0
57,MPLS_0,147,15,1.26,10,15,7000,7000
57,MPLS_1,61,9,0.58,3,5,1800,1800
57,Internet,159,15,5,6,6,600,0
58,MPLS_2,62,8,0.64,24,47,12000,3500
58,MPLS_0,121,16,1.09,88,170,61600,3500
58,Internet,203,19,1,55,55,5500,0
59,MPLS_1,65,12,0.43,38,63,19000,2500
59,Internet,146,13,7,21,21,2100,0
60,MPLS_1,64,11,0.55,11,20,7700,7000
60,MPLS_0,127,12,1.04,32,55,19200,1800
60,Internet,155,19,1,18,18,1800,0
61,MPLS_0,129,13,1.51,328,609,262400,2400
61,MPLS_2,67,12,0.45,110,188,77000,3500
61,Internet,182,16,2,194,194,19400,0
62,MPLS_0,81,13,0.7,10,18,6000,6000
62,MPLS_1,128,16,1.3,34,61,20400,2400
62,Internet,154,17,1,17,17,1700,0
63,MPLS_2,132,14,1.08,102,203,51000,1500
63,MPLS_0,88,9,0.51,23,39,11500,4500
63,MPLS_1,67,10,0.47,24,43,16800,7000
63,Internet,193,12,3,67,67,6700,0
64,MPLS_2,94,12,1.52,53,101,42400,6400
64,MPLS_0,74,10,0.69,10,15,5000,1500
64,MPLS_1,83,13,0.78,8,13,4000,4000
64,Internet,205,16,9,25,25,2500,0
65,MPLS_0,80,9,0.63,53,91,26500,5000
65,Internet,160,14,5,35,35,3500,0
66,MPLS_0,71,11,0.73,34,52,27200,6400
66,Internet,205,19,2,20,20,2000,0
67,MPLS_2,62,13,0.4,9,17,6300,3500
67,MPLS_0,69,11,0.44,7,13,4200,4800
67,MPLS_1,94,16,1.89,33,57,26400,4800
67,Internet,176,20,6,22,22,2200,0
68,MPLS_1,77,13,0.46,97,191,58200,5400
68,MPLS_0,90,14,1.67,217,431,173600,2400
68,Internet,212,15,7,176,176,17600,0
69,MPLS_0,83,15,1.23,265,450,212000,4000
69,MPLS_1,77,13,0.56,99,187,79200,5600
69,Internet,182,20,2,210,210,21000,0
70,MPLS_2,66,12,0.5,18,28,9000,2500
70,MPLS_1,131,13,1.05,60,91,42000,2800
70,Internet,141,14,7,31,31,3100,0
71,MPLS_0,81,11,0.4,2,3,1200,1800
71,MPLS_2,89,12,0.58,2,3,1200,2400
71,MPLS_1,90,15,1.5,14,23,7000,1500
71,Internet,176,14,9,8,8,800,0
72,MPLS_2,90,14,2.06,8,14,5600,2100
72,MPLS_0,70,10,0.73,2,3,1000,4000
72,MPLS_1,68,7,0.67,2,3,1200,4800
72,Internet,150,12,7,6,6,600,0
73,MPLS_2,71,8,0.5,17,31,13600,3200
73,MPLS_1,113,14,1.86,40,69,20000,3000
73,Internet,212,20,9,51,51,5100,0
74,MPLS_1,62,12,0.52,4,7,3200,6400
74,MPLS_0,61,10,0.44,5,7,3000,5400
74,MPLS_2,145,14,1.46,27,45,13500,2000
74,Internet,215,17,7,12,12,1200,0
75,MPLS_0,73,8,0.48,14,27,7000,3000
75,MPLS_2,133,14,1.23,78,142,54600,5600
75,MPLS_1,80,11,0.43,13,24,6500,3000
75,Internet,190,20,1,52,52,5200,0
76,MPLS_2,104,15,1.57,31,60,18600,1800
76,MPLS_1,89,13,0.62,9,14,6300,3500
76,Internet,193,17,10,31,31,3100,0
77,MPLS_0,73,10,0.41,66,129,52800,4800
77,Internet,210,13,1,47,47,4700,0
78,MPLS_2,71,9,0.47,62,103,49600,3200
78,MPLS_1,139,16,1.23,317,543,253600,2400
78,MPLS_0,73,13,0.71,58,113,46400,6400
78,Internet,206,18,5,340,340,34000,0
79,MPLS_0,148,16,1.3,11,21,7700,6300
79,MPLS_2,84,7,0.48,4,6,2400,5400
79,Internet,160,16,8,8,8,800,0
80,MPLS_2,145,16,1.37,88,142,70400,2400
80,MPLS_0,83,11,0.72,39,77,19500,4500
80,Internet,183,18,10,80,80,8000,0
81,MPLS_1,70,7,0.75,6,10,3000,2000
81,MPLS_2,114,14,0.83,14,25,11200,8000
81,Internet,147,17,7,15,15,1500,0
82,MPLS_1,70,8,0.74,7,12,4200,2400
82,MPLS_2,128,13,1.23,17,31,13600,5600
82,Internet,188,14,7,10,10,1000,0
83,MPLS_2,86,7,0.77,100,162,60000,4200
83,MPLS_0,121,15,1.74,256,433,153600,2400
83,Internet,156,19,8,186,186,18600,0
84,MPLS_2,81,9,0.59,39,64,19500,4500
84,MPLS_1,96,16,1.26,106,200,74200,4200
84,Internet,152,18,8,115,115,11500,0
85,MPLS_0,134,15,1.22,96,150,76800,4800
85,MPLS_2,64,11,0.64,45,82,27000,4800
85,Internet,178,12,10,48,48,4800,0
86,MPLS_0,133,15,1.71,394,693,275800,7000
86,MPLS_2,68,10,0.69,214,425,149800,3500
86,Internet,184,15,6,318,318,31800,0
87,MPLS_1,92,13,1.73,51,83,30600,4800
87,MPLS_0,79,11,0.48,23,34,16100,2800
87,Internet,177,15,2,38,38,3800,0
88,MPLS_0,85,16,1.11,160,312,112000,7000
88,MPLS_1,74,10,0.56,35,62,17500,5000
88,MPLS_2,89,13,0.7,33,52,23100,5600
88,Internet,147,18,1,167,167,16700,0
89,MPLS_0,118,15,1.33,25,41,17500,2800
89,MPLS_1,80,8,0.44,10,18,8000,4000
89,Internet,151,20,3,29,29,2900,0
90,MPLS_2,79,9,0.66,10,15,8000,4000
90,MPLS_0,120,13,2.05,71,123,42600,1800
90,MPLS_1,73,12,0.64,12,19,8400,2800
90,Internet,183,12,6,67,67,6700,0
91,MPLS_0,61,9,0.72,3,4,1800,4200
91,MPLS_1,142,12,1.55,16,28,12800,3200
91,MPLS_2,60,8,0.77,3,5,2400,6400
91,Internet,201,16,10,11,11,1100,0
92,MPLS_2,70,12,0.66,6,10,3600,2400
92,MPLS_1,85,14,1.44,15,25,12000,5600
92,Internet,146,16,8,15,15,1500,0
93,MPLS_2,131,12,1.18,15,26,7500,4000
93,MPLS_1,73,11,0.57,7,12,4200,4200
93,Internet,152,16,8,12,12,1200,0
94,MPLS_0,146,14,1.8,6,11,4800,3200
94,MPLS_1,71,9,0.61,2,3,1600,8000
94,Internet,195,18,10,5,5,500,0
95,MPLS_0,76,12,0.72,2,3,1200,1800
95,MPLS_2,116,16,1.48,9,15,4500,4500
95,MPLS_1,66,11,0.51,2,3,1200,4800
95,Internet,153,12,9,12,12,1200,0
96,MPLS_0,100,14,1.88,9,13,6300,2800
96,MPLS_2,85,12,0.52,2,3,1600,8000
96,MPLS_1,81,13,0.42,2,3,1000,4500
96,Internet,181,20,8,12,12,1200,0
97,MPLS_0,76,10,0.71,14,23,11200,5600
97,MPLS_2,82,8,0.49,14,23,7000,3500
97,MPLS_1,150,13,1.11,79,142,55300,2100
97,Internet,197,13,3,41,41,4100,0
98,MPLS_2,77,11,0.52,41,79,24600,6000
98,MPLS_1,125,13,1.33,205,334,164000,4800
98,MPLS_0,69,7,0.58,38,65,22800,1800
98,Internet,155,18,3,215,215,21500,0
99,MPLS_0,75,8,0.49,12,21,9600,4000
99,MPLS_2,139,16,0.82,51,92,40800,7200
99,MPLS_1,66,13,0.54,10,16,5000,5000
99,Internet,214,15,7,50,50,5000,0
RDC,Internet,144,19,5,4000,4000,400000,0
RDC,MPLS_0,92,19,1.28,2000,4000,1600000,4800
RDC,MPLS_1,114,13,1.68,2500,5000,1750000,2100
RDC,MPLS_2,88,13,0.97,2000,3000,1200000,4800
