site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
76,MPLS_1,84,11,0.59,6,9,3600,4200
76,MPLS_0,95,14,1.13,32,55,16000,3500
76,Internet,150,20,5,25,25,2500,0
77,MPLS_2,63,12,0.71,17,30,8500,4500
77,MPLS_0,104,14,1.07,43,79,30100,7000
77,Internet,161,17,8,31,31,3100,0
78,MPLS_2,129,12,1.4,331,609,198600,1800
78,MPLS_1,67,11,0.59,124,210,86800,4900
78,Internet,184,12,8,331,331,33100,0
79,MPLS_2,105,12,1,10,18,8000,3200
79,MPLS_1,75,9,0.73,3,5,1500,5000
79,Internet,176,17,10,6,6,600,0
80,MPLS_1,88,12,0.6,107,194,53500,4500
80,Internet,147,17,5,50,50,5000,0
81,MPLS_1,76,7,0.68,5,9,3500,4200
81,MPLS_2,89,16,1.63,13,22,6500,4500
81,Internet,171,14,8,8,8,800,0
82,MPLS_2,76,8,0.69,8,13,4800,3600
82,MPLS_0,104,13,1.72,19,31,9500,4500
82,Internet,215,18,7,15,15,1500,0
83,MPLS_1,70,11,0.4,47,92,37600,7200
83,MPLS_0,146,15,1.78,269,425,134500,4000
83,MPLS_2,66,13,0.72,46,72,23000,3500
83,Internet,185,20,7,168,168,16800,0
84,MPLS_2,88,10,0.54,38,70,19000,1500
84,MPLS_0,110,14,1.01,93,163,46500,4000
84,Internet,144,16,8,90,90,9000,0
85,MPLS_1,84,9,0.71,21,32,10500,2000
85,MPLS_2,80,12,0.5,19,37,13300,2100
85,MPLS_0,114,13,1.37,83,149,58100,6300
85,Internet,177,20,7,65,65,6500,0
86,MPLS_1,66,12,0.73,549,852,439200,2400
86,Internet,189,18,9,288,288,28800,0
87,MPLS_1,79,9,0.73,12,20,9600,4000
87,MPLS_2,62,7,0.78,13,22,7800,4200
87,MPLS_0,102,14,2.05,62,94,37200,3000
87,Internet,202,18,5,33,33,3300,0
88,MPLS_0,74,8,0.48,244,391,170800,5600
88,Internet,160,15,5,190,190,19000,0
89,MPLS_0,77,12,0.57,11,20,8800,4800
89,MPLS_1,142,13,1.94,26,48,18200,2800
89,Internet,174,18,4,31,31,3100,0
90,MPLS_0,75,7,0.67,31,61,15500,1500
90,MPLS_1,129,15,2.02,81,140,56700,5600
90,Internet,145,13,9,48,48,4800,0
91,MPLS_2,83,8,0.76,4,7,3200,4800
91,MPLS_1,145,12,0.85,22,34,13200,3600
91,MPLS_0,83,11,0.75,4,7,2400,6000
91,Internet,141,19,8,15,15,1500,0
92,MPLS_1,69,11,0.71,4,7,2000,2000
92,MPLS_2,86,12,0.49,3,5,2100,4900
92,MPLS_0,93,16,1.7,17,31,8500,2000
92,Internet,141,15,3,11,11,1100,0
93,MPLS_0,115,14,1.31,19,31,13300,7000
93,MPLS_2,72,11,0.62,9,15,5400,5400
93,Internet,220,16,7,12,12,1200,0
94,MPLS_2,60,10,0.53,1,1,600,2400
94,MPLS_0,89,15,1.89,4,7,3200,4800
94,Internet,167,19,10,2,2,200,0
95,MPLS_2,150,14,0.87,9,16,6300,2100
95,MPLS_0,80,7,0.55,4,7,2400,3600
95,Internet,183,15,3,9,9,900,0
96,MPLS_1,133,13,0.92,11,18,6600,6000
96,MPLS_2,78,7,0.68,4,6,3200,2400
96,Internet,153,14,2,6,6,600,0
97,MPLS_1,63,13,0.48,14,24,11200,8000
97,MPLS_0,94,14,0.88,87,154,60900,7000
97,MPLS_2,88,9,0.73,12,20,7200,2400
97,Internet,154,17,7,46,46,4600,0
98,MPLS_0,121,16,0.86,224,341,112000,2000
98,MPLS_2,62,7,0.63,71,122,35500,3000
98,Internet,156,14,4,210,210,21000,0
99,MPLS_1,132,12,1.43,48,77,24000,4000
99,MPLS_2,85,7,0.64,23,39,16100,6300
99,Internet,176,19,5,47,47,4700,0
100,MPLS_1,89,15,0.85,66,127,46200,3500
100,MPLS_0,64,10,0.5,23,37,11500,5000
100,Internet,178,19,9,75,75,7500,0
101,MPLS_1,86,7,0.44,5,9,3500,6300
101,MPLS_2,96,13,1.29,28,49,16800,6000
101,MPLS_0,67,9,0.49,5,9,2500,5000
101,Internet,210,18,4,19,19,1900,0
102,MPLS_0,142,16,1.35,97,178,77600,3200
102,MPLS_1,76,11,0.63,55,105,33000,5400
102,Internet,206,18,7,117,117,11700,0
103,MPLS_1,86,7,0.47,3,4,1500,5000
103,MPLS_2,103,16,1.18,7,12,4900,4900
103,Internet,197,17,2,5,5,500,0
104,MPLS_2,74,13,0.69,17,32,13600,7200
104,Internet,202,15,4,10,10,1000,0
105,MPLS_1,79,9,0.57,6,10,3600,3600
105,MPLS_0,91,15,1.5,43,81,34400,8000
105,MPLS_2,83,10,0.57,7,11,3500,2500
105,Internet,153,14,1,24,24,2400,0
106,MPLS_2,78,9,0.4,17,26,11900,2800
106,MPLS_1,82,8,0.53,17,28,10200,4800
106,MPLS_0,94,13,2.04,85,127,51000,6000
106,Internet,213,12,9,67,67,6700,0
107,MPLS_2,141,16,2.06,9,13,4500,5000
107,MPLS_0,71,11,0.67,3,5,1800,3000
107,Internet,203,15,9,5,5,500,0
108,MPLS_0,69,11,0.55,24,42,14400,5400
108,Internet,155,18,1,18,18,1800,0
109,MPLS_2,82,11,0.44,3,5,1500,1500
109,MPLS_1,146,13,1.12,8,15,4000,2000
109,Internet,198,20,9,4,4,400,0
110,MPLS_1,73,12,0.66,256,444,204800,6400
110,Internet,175,17,2,128,128,12800,0
111,MPLS_1,66,9,0.67,107,176,53500,1500
111,MPLS_0,92,15,1.59,330,536,231000,5600
111,Internet,167,17,6,162,162,16200,0
112,MPLS_2,68,8,0.73,20,38,14000,4200
112,MPLS_1,91,12,2.06,60,105,48000,2400
112,Internet,168,13,10,34,34,3400,0
113,MPLS_1,80,11,0.49,24,44,12000,3000
113,MPLS_0,102,16,0.94,52,81,26000,5000
113,Internet,218,20,7,52,52,5200,0
114,MPLS_0,65,11,0.4,152,291,91200,2400
114,MPLS_2,103,14,1.81,484,782,242000,2000
114,Internet,211,16,1,311,311,31100,0
115,MPLS_1,64,12,0.43,46,91,36800,3200
115,MPLS_2,73,7,0.72,44,67,26400,1800
115,MPLS_0,145,15,1.03,256,458,153600,2400
115,Internet,140,16,1,217,217,21700,0
116,MPLS_2,117,13,1.29,212,347,169600,2400
116,MPLS_1,67,7,0.47,30,50,24000,4000
116,MPLS_0,66,13,0.53,45,78,22500,3500
116,Internet,208,12,10,178,178,17800,0
117,MPLS_1,148,15,1.53,68,112,54400,6400
117,MPLS_2,86,10,0.51,28,42,16800,2400
117,Internet,193,12,1,61,61,6100,0
118,MPLS_0,147,16,2.03,5,7,3500,5600
118,MPLS_2,63,10,0.57,2,3,1600,5600
118,Internet,189,14,2,5,5,500,0
119,MPLS_1,73,9,0.64,24,46,14400,4200
119,MPLS_2,93,13,1.3,114,174,79800,4200
119,MPLS_0,88,8,0.75,22,43,13200,4800
119,Internet,154,12,8,98,98,9800,0
120,MPLS_1,66,12,0.67,110,185,66000,3600
120,MPLS_2,105,13,1.81,285,484,199500,4900
120,Internet,209,19,10,226,226,22600,0
121,MPLS_2,83,9,0.47,82,129,57400,4200
121,Internet,194,18,3,27,27,2700,0
122,MPLS_1,95,12,1.01,45,88,36000,4800
122,MPLS_0,73,11,0.46,7,12,4900,6300
122,MPLS_2,81,13,0.66,6,9,3000,5000
122,Internet,185,18,8,32,32,3200,0
123,MPLS_2,61,8,0.57,41,73,32800,6400
123,MPLS_1,102,12,1.23,118,182,59000,3500
123,Internet,167,15,10,107,107,10700,0
124,MPLS_0,128,14,1.29,25,48,15000,4800
124,MPLS_1,62,7,0.61,5,8,3000,6000
124,MPLS_2,65,9,0.5,5,7,3500,4200
124,Internet,171,14,1,28,28,2800,0
125,MPLS_0,85,16,1.13,76,125,38000,4000
125,MPLS_1,86,11,0.74,31,51,21700,4900
125,Internet,146,18,8,84,84,8400,0
126,MPLS_1,75,13,0.77,13,20,9100,4200
126,MPLS_0,78,8,0.43,12,23,8400,2100
126,MPLS_2,134,16,1.45,61,119,30500,4000
126,Internet,154,17,6,55,55,5500,0
127,MPLS_2,132,13,1.16,100,160,60000,2400
127,MPLS_1,73,10,0.48,35,68,17500,2500
127,Internet,153,15,1,56,56,5600,0
128,MPLS_0,64,10,0.77,8,14,5600,4900
128,MPLS_1,85,7,0.75,7,10,3500,2000
128,MPLS_2,129,12,2.02,49,90,39200,4800
128,Internet,156,17,10,28,28,2800,0
129,MPLS_2,71,8,0.49,8,12,4800,6000
129,MPLS_1,110,15,1.35,26,49,18200,4200
129,Internet,186,16,1,26,26,2600,0
130,MPLS_1,64,11,0.46,13,22,10400,6400
130,MPLS_2,118,13,1.93,44,78,26400,6000
130,Internet,218,20,1,24,24,2400,0
131,MPLS_2,83,12,0.5,96,169,67200,4200
131,Internet,187,14,3,71,71,7100,0
132,MPLS_0,88,15,1.97,73,122,58400,8000
132,MPLS_1,82,9,0.51,35,61,24500,3500
132,Internet,207,14,2,83,83,8300,0
133,MPLS_2,94,16,1.89,27,46,21600,8000
133,MPLS_0,74,13,0.64,11,16,6600,3000
133,Internet,207,13,7,19,19,1900,0
134,MPLS_1,70,11,0.52,5,8,2500,2500
134,MPLS_2,109,14,1.79,9,16,7200,6400
134,Internet,176,16,9,10,10,1000,0
135,MPLS_2,65,10,0.58,46,70,32200,3500
135,Internet,180,20,9,23,23,2300,0
136,MPLS_0,60,12,0.73,31,50,18600,3000
136,MPLS_2,103,14,0.81,102,202,71400,4200
136,Internet,162,13,2,109,109,10900,0
137,MPLS_1,74,12,0.78,216,343,151200,7000
137,Internet,192,18,8,97,97,9700,0
138,MPLS_1,77,13,0.71,7,11,4900,6300
138,MPLS_2,128,12,0.9,39,68,27300,4900
138,MPLS_0,81,9,0.41,6,11,4800,2400
138,Internet,171,18,9,43,43,4300,0
139,MPLS_0,84,14,1.04,8,14,5600,2100
139,MPLS_1,68,13,0.77,2,3,1400,3500
139,Internet,141,19,6,4,4,400,0
140,MPLS_2,75,7,0.66,8,13,5600,6300
140,MPLS_0,117,13,1.33,43,75,25800,3600
140,MPLS_1,60,13,0.54,6,9,4200,5600
140,Internet,183,18,1,30,30,3000,0
141,MPLS_0,75,13,0.73,5,9,3500,7000
141,MPLS_1,134,16,1.91,26,46,18200,7000
141,MPLS_2,76,12,0.61,5,9,4000,5600
141,Internet,185,17,10,20,20,2000,0
142,MPLS_0,139,14,1.29,25,45,17500,2800
142,MPLS_2,63,13,0.47,7,10,5600,7200
142,Internet,215,13,8,20,20,2000,0
143,MPLS_0,120,13,1.67,178,351,142400,6400
143,MPLS_2,72,12,0.66,78,139,46800,6000
143,Internet,200,17,10,177,177,17700,0
144,MPLS_1,119,13,1.64,166,315,116200,7000
144,MPLS_2,88,9,0.67,35,65,24500,4200
144,MPLS_0,74,7,0.63,42,78,29400,6300
144,Internet,165,13,9,140,140,14000,0
145,MPLS_1,93,12,0.86,77,141,38500,3500
145,MPLS_2,64,13,0.45,13,22,6500,4500
145,MPLS_0,77,10,0.45,13,21,7800,2400
145,Internet,145,15,8,49,49,4900,0
146,MPLS_2,120,15,1.9,62,95,31000,3500
146,MPLS_1,89,8,0.43,19,30,9500,3000
146,Internet,151,17,8,53,53,5300,0
147,MPLS_1,89,8,0.6,9,17,5400,5400
147,MPLS_0,84,12,1.53,25,45,17500,2800
147,Internet,209,12,8,19,19,1900,0
148,MPLS_1,110,16,1.44,229,422,160300,3500
148,MPLS_2,86,7,0.49,113,210,90400,2400
148,Internet,220,17,9,192,192,19200,0
149,MPLS_2,143,16,0.9,36,62,25200,5600
149,MPLS_0,70,9,0.59,16,24,8000,2500
149,Internet,202,16,3,51,51,5100,0
150,MPLS_0,131,15,1.64,31,54,24800,4000
150,MPLS_2,77,11,0.51,14,25,8400,6000
150,Internet,170,20,3,23,23,2300,0
151,MPLS_0,116,14,1.96,29,49,20300,7000
151,MPLS_1,89,12,0.46,11,17,7700,3500
151,Internet,189,18,6,23,23,2300,0
152,MPLS_0,85,8,0.75,22,41,15400,2100
152,MPLS_2,95,12,1.37,80,144,56000,2100
152,Internet,147,17,10,40,40,4000,0
153,MPLS_1,81,9,0.74,72,119,50400,4900
153,MPLS_2,136,12,1.88,151,231,120800,6400
153,Internet,216,18,6,189,189,18900,0
154,MPLS_1,94,16,1.83,153,277,76500,1500
154,MPLS_2,69,8,0.61,52,94,26000,3500
154,Internet,171,12,7,135,135,13500,0
155,MPLS_0,85,9,0.74,40,71,32000,8000
155,MPLS_2,143,15,1.7,84,131,42000,5000
155,Internet,206,16,6,48,48,4800,0
156,MPLS_2,79,7,0.56,318,488,190800,4800
156,Internet,206,15,4,148,148,14800,0
157,MPLS_2,63,12,0.43,5,8,3500,7000
157,MPLS_1,119,16,1.29,13,25,9100,4200
157,Internet,220,18,5,12,12,1200,0
158,MPLS_0,66,13,0.41,6,10,3600,1800
158,MPLS_1,83,13,1.33,15,22,7500,2500
158,Internet,182,19,10,12,12,1200,0
159,MPLS_1,88,9,0.6,2,3,1600,6400
159,MPLS_2,124,14,1.01,7,11,3500,3500
159,Internet,210,14,8,8,8,800,0
160,MPLS_0,76,9,0.54,39,65,23400,1800
160,MPLS_2,83,7,0.49,41,80,32800,4000
160,MPLS_1,84,12,1.2,168,253,134400,4800
160,Internet,200,14,3,154,154,15400,0
161,MPLS_2,90,14,1.27,20,39,16000,6400
161,MPLS_0,75,13,0.76,3,5,1500,3000
161,MPLS_1,72,11,0.77,4,7,2000,2000
161,Internet,167,19,10,8,8,800,0
162,MPLS_2,61,11,0.55,1,1,600,3600
162,MPLS_0,82,15,1.07,3,4,1800,3000
162,MPLS_1,71,10,0.63,1,1,700,4900
162,Internet,219,12,1,3,3,300,0
163,MPLS_0,82,9,0.44,375,708,262500,4900
163,Internet,175,12,1,222,222,22200,0
164,MPLS_2,85,12,0.43,5,9,4000,4000
164,MPLS_0,113,14,1.58,9,15,4500,2500
164,Internet,174,12,10,7,7,700,0
165,MPLS_2,84,12,0.63,3,4,1800,3000
165,MPLS_1,83,8,0.73,3,5,1500,5000
165,MPLS_0,100,15,1.29,18,27,14400,5600
165,Internet,205,19,10,19,19,1900,0
166,MPLS_0,124,13,0.95,20,37,16000,3200
166,MPLS_2,82,11,0.74,8,12,5600,3500
166,Internet,220,13,4,17,17,1700,0
167,MPLS_2,73,9,0.58,33,50,26400,5600
167,Internet,190,20,3,16,16,1600,0
168,MPLS_2,80,9,0.7,9,14,7200,4800
168,MPLS_0,104,15,1.98,24,43,12000,4000
168,Internet,209,15,5,22,22,2200,0
169,MPLS_1,70,12,0.78,28,50,19600,6300
169,MPLS_2,93,13,1.18,62,101,49600,8000
169,Internet,174,14,4,42,42,4200,0
170,MPLS_0,89,12,0.78,48,95,33600,3500
170,MPLS_1,148,12,1.96,209,385,104500,2000
170,MPLS_2,68,8,0.49,49,93,24500,1500
170,Internet,206,20,9,138,138,13800,0
171,MPLS_2,84,13,0.45,7,10,5600,2400
