LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
42,13,MPLS_2,79,13,0.46,45,86,27000,4200
43,13,Internet,220,15,7.0,28,28,2800,0
44,14,MPLS_2,136,15,1.14,10,19,7000,2800
45,14,MPLS_1,76,12,0.73,4,6,2400,1800
46,14,Internet,166,13,4.0,8,8,800,0
47,15,MPLS_1,61,9,0.68,519,1033,259500,5000
48,15,Internet,205,13,6.0,298,298,29800,0
49,16,MPLS_1,70,11,0.62,61,91,30500,5000
50,16,Internet,201,13,9.0,39,39,3900,0
51,17,MPLS_1,107,12,0.8,83,139,58100,5600
52,17,MPLS_2,82,13,0.58,37,65,29600,7200
53,17,Internet,187,17,10.0,81,81,8100,0
54,18,MPLS_0,75,11,0.54,11,21,7700,2100
55,18,MPLS_2,87,16,1.35,40,60,32000,6400
56,18,MPLS_1,69,13,0.77,9,14,6300,6300
57,18,Internet,194,18,1.0,43,43,4300,0
58,19,MPLS_1,63,8,0.63,113,176,67800,3600
59,19,Internet,162,19,7.0,49,49,4900,0
60,20,MPLS_0,85,11,0.48,12,22,9600,6400
61,20,MPLS_2,90,14,0.8,36,62,18000,1500
62,20,Internet,165,20,9.0,20,20,2000,0
63,21,MPLS_0,80,14,1.51,129,207,64500,4500
64,21,MPLS_1,70,13,0.46,57,100,28500,2000
65,21,Internet,144,12,7.0,125,125,12500,0
66,22,MPLS_2,77,12,0.47,49,76,24500,4500
67,22,MPLS_1,142,13,1.44,111,200,88800,3200
68,22,Internet,140,18,10.0,146,146,14600,0
69,23,MPLS_0,74,8,0.68,8,12,6400,4000
70,23,MPLS_2,135,16,1.84,26,41,13000,3500
71,23,Internet,216,18,7.0,17,17,1700,0
72,24,MPLS_1,61,13,0.51,13,22,9100,3500
73,24,MPLS_0,64,13,0.48,12,19,6000,4000
74,24,MPLS_2,131,15,1.09,79,131,55300,6300
75,24,Internet,187,14,9.0,73,73,7300,0
76,25,MPLS_2,89,10,0.73,2,3,1600,7200
77,25,MPLS_1,75,11,0.77,2,3,1200,3000
78,25,MPLS_0,122,16,1.15,10,15,6000,3600
79,25,Internet,153,19,7.0,5,5,500,0
80,26,MPLS_1,95,14,1.07,13,20,9100,2800
81,26,MPLS_2,88,8,0.42,5,9,2500,1500
82,26,Internet,191,20,2.0,10,10,1000,0
83,27,MPLS_1,147,15,1.21,34,57,17000,2000
84,27,MPLS_0,88,8,0.63,11,18,6600,4200
85,27,Internet,188,14,4.0,25,25,2500,0
86,28,MPLS_1,91,16,1.22,190,287,95000,2000
87,28,MPLS_0,67,10,0.48,69,117,34500,4500
88,28,Internet,184,15,2.0,173,173,17300,0
89,29,MPLS_1,88,12,1.91,38,59,26600,6300
90,29,MPLS_0,88,12,0.5,23,34,13800,3600
91,29,Internet,169,19,6.0,41,41,4100,0
92,30,MPLS_0,61,11,0.52,18,35,9000,2000
93,30,MPLS_1,122,15,1.69,46,85,32200,5600
94,30,Internet,172,20,7.0,59,59,5900,0
95,31,MPLS_2,124,15,1.68,153,232,76500,5000
96,31,MPLS_1,61,11,0.5,39,69,19500,5000
97,31,MPLS_0,65,7,0.43,38,66,19000,2000
98,31,Internet,178,13,9.0,165,165,16500,0
99,32,MPLS_2,80,9,0.54,4,7,2800,2100
100,32,MPLS_1,80,14,1.51,20,33,16000,5600
101,32,MPLS_0,64,11,0.56,3,5,2100,7000
102,32,Internet,198,15,1.0,18,18,1800,0
103,33,MPLS_2,87,11,0.54,9,16,6300,5600
104,33,MPLS_1,91,14,1.89,29,53,17400,3000
105,33,Internet,146,17,9.0,23,23,2300,0
106,34,MPLS_0,145,14,1.59,61,107,30500,1500
107,34,MPLS_2,61,13,0.67,26,50,18200,2800
108,34,Internet,149,18,3.0,68,68,6800,0
109,35,MPLS_0,68,11,0.66,12,18,8400,2100
110,35,MPLS_1,89,13,1.57,38,75,30400,4000
111,35,Internet,158,12,8.0,19,19,1900,0
112,36,MPLS_1,87,13,0.57,35,62,17500,3500
113,36,MPLS_2,98,15,2.1,178,299,106800,4200
114,36,MPLS_0,86,8,0.72,31,47,15500,3000
115,36,Internet,187,16,9.0,99,99,9900,0
116,37,MPLS_1,130,12,1.55,12,20,9600,3200
117,37,MPLS_2,84,10,0.79,5,7,3500,7000
118,37,Internet,156,20,10.0,7,7,700,0
119,38,MPLS_2,85,12,0.48,39,74,27300,2800
120,38,MPLS_1,101,12,0.91,141,270,84600,5400
121,38,MPLS_0,83,9,0.52,27,41,21600,5600
122,38,Internet,142,19,5.0,109,109,10900,0
123,39,MPLS_2,84,12,0.78,16,28,11200,3500
124,39,MPLS_0,139,13,0.97,47,75,37600,4000
125,39,Internet,172,15,5.0,38,38,3800,0
126,40,MPLS_1,80,15,0.91,113,195,56500,2500
127,40,MPLS_0,86,10,0.43,35,66,24500,3500
128,40,Internet,206,15,4.0,80,80,8000,0
129,41,MPLS_2,70,7,0.65,6,9,4800,3200
130,41,MPLS_1,94,13,1.64,19,36,13300,7000
131,41,Internet,150,12,4.0,21,21,2100,0
132,42,MPLS_1,76,10,0.42,3,5,1500,1500
133,42,MPLS_0,74,13,0.55,3,5,1500,1500
134,42,MPLS_2,112,13,1.04,18,33,12600,7000
135,42,Internet,176,15,2.0,15,15,1500,0
136,43,MPLS_1,82,11,0.63,11,17,7700,7000
137,43,MPLS_0,89,10,0.65,12,20,9600,6400
138,43,MPLS_2,99,15,2.02,55,98,33000,1800
139,43,Internet,198,18,8.0,50,50,5000,0
140,44,MPLS_2,83,10,0.73,2,3,1200,5400
141,44,MPLS_0,87,12,0.46,3,5,1800,5400
142,44,MPLS_1,113,12,1.2,13,24,6500,2500
143,44,Internet,212,16,1.0,9,9,900,0
144,45,MPLS_1,88,10,0.5,8,12,4000,3000
145,45,MPLS_2,108,14,1.24,22,39,17600,3200
146,45,Internet,184,17,2.0,14,14,1400,0
147,46,MPLS_0,86,10,0.44,3,5,2400,8000
148,46,MPLS_1,89,10,0.68,4,7,2800,4900
149,46,MPLS_2,120,14,1.48,20,39,16000,4000
150,46,Internet,196,17,1.0,17,17,1700,0
151,47,MPLS_0,123,15,2.07,78,155,39000,4000
152,47,MPLS_1,70,8,0.49,31,60,21700,3500
153,47,Internet,144,15,5.0,39,39,3900,0
154,48,MPLS_2,75,12,0.55,37,62,22200,6000
155,48,MPLS_1,140,15,1.42,95,182,47500,2000
156,48,Internet,215,15,10.0,100,100,10000,0
157,49,MPLS_0,148,15,1.12,71,134,49700,7000
158,49,MPLS_2,69,9,0.5,13,24,10400,4800
159,49,MPLS_1,66,12,0.5,14,24,7000,4000
160,49,Internet,166,19,6.0,48,48,4800,0
161,50,MPLS_2,80,13,0.59,82,148,41000,3500
162,50,MPLS_0,108,14,1.19,218,376,130800,6000
163,50,Internet,180,20,3.0,120,120,12000,0
164,51,MPLS_1,142,13,1.9,201,388,140700,4200
165,51,MPLS_0,70,7,0.48,76,118,45600,3600
166,51,Internet,210,20,5.0,142,142,14200,0
167,52,MPLS_2,87,12,2.09,21,41,16800,8000
168,52,MPLS_1,87,7,0.7,5,7,3500,2100
169,52,MPLS_0,85,10,0.49,4,6,2000,2000
170,52,Internet,140,18,4.0,27,27,2700,0
171,53,MPLS_0,101,16,0.96,49,77,29400,3600
172,53,MPLS_2,69,7,0.55,19,35,9500,5000
173,53,Internet,203,16,10.0,67,67,6700,0
174,54,MPLS_0,131,15,1.34,4,7,3200,4000
175,54,MPLS_1,69,10,0.55,3,6,1500,2500
176,54,Internet,151,12,4.0,4,4,400,0
177,55,MPLS_2,127,13,2.06,18,34,10800,4200
178,55,MPLS_1,86,7,0.63,5,8,3500,3500
179,55,Internet,174,17,8.0,12,12,1200,0
180,56,MPLS_0,82,13,0.43,108,188,54000,3000
181,56,MPLS_1,141,12,1.85,311,505,248800,5600
182,56,Internet,189,14,2.0,221,221,22100,0
183,57,MPLS_0,147,15,1.26,10,15,7000,7000
184,57,MPLS_1,61,9,0.58,3,5,1800,1800
185,57,Internet,159,15,5.0,6,6,600,0
186,58,MPLS_2,62,8,0.64,24,47,12000,3500
187,58,MPLS_0,121,16,1.09,88,170,61600,3500
188,58,Internet,203,19,1.0,55,55,5500,0
189,59,MPLS_1,65,12,0.43,38,63,19000,2500
190,59,Internet,146,13,7.0,21,21,2100,0
191,60,MPLS_1,64,11,0.55,11,20,7700,7000
192,60,MPLS_0,127,12,1.04,32,55,19200,1800
193,60,Internet,155,19,1.0,18,18,1800,0
194,61,MPLS_0,129,13,1.51,328,609,262400,2400
195,61,MPLS_2,67,12,0.45,110,188,77000,3500
196,61,Internet,182,16,2.0,194,194,19400,0
197,62,MPLS_0,81,13,0.7,10,18,6000,6000
198,62,MPLS_1,128,16,1.3,34,61,20400,2400
199,62,Internet,154,17,1.0,17,17,1700,0
200,63,MPLS_2,132,14,1.08,102,203,51000,1500
201,63,MPLS_0,88,9,0.51,23,39,11500,4500
202,63,MPLS_1,67,10,0.47,24,43,16800,7000
203,63,Internet,193,12,3.0,67,67,6700,0
204,64,MPLS_2,94,12,1.52,53,101,42400,6400
205,64,MPLS_0,74,10,0.69,10,15,5000,1500
206,64,MPLS_1,83,13,0.78,8,13,4000,4000
207,64,Internet,205,16,9.0,25,25,2500,0
208,65,MPLS_0,80,9,0.63,53,91,26500,5000
209,65,Internet,160,14,5.0,35,35,3500,0
210,66,MPLS_0,71,11,0.73,34,52,27200,6400
211,66,Internet,205,19,2.0,20,20,2000,0
212,67,MPLS_2,62,13,0.4,9,17,6300,3500
213,67,MPLS_0,69,11,0.44,7,13,4200,4800
214,67,MPLS_1,94,16,1.89,33,57,26400,4800
215,67,Internet,176,20,6.0,22,22,2200,0
216,68,MPLS_1,77,13,0.46,97,191,58200,5400
217,68,MPLS_0,90,14,1.67,217,431,173600,2400
218,68,Internet,212,15,7.0,176,176,17600,0
219,69,MPLS_0,83,15,1.23,265,450,212000,4000
220,69,MPLS_1,77,13,0.56,99,187,79200,5600
221,69,Internet,182,20,2.0,210,210,21000,0
222,70,MPLS_2,66,12,0.5,18,28,9000,2500
223,70,MPLS_1,131,13,1.05,60,91,42000,2800
224,70,Internet,141,14,7.0,31,31,3100,0
225,71,MPLS_0,81,11,0.4,2,3,1200,1800
226,71,MPLS_2,89,12,0.58,2,3,1200,2400
227,71,MPLS_1,90,15,1.5,14,23,7000,1500
228,71,Internet,176,14,9.0,8,8,800,0
229,72,MPLS_2,90,14,2.06,8,14,5600,2100
230,72,MPLS_0,70,10,0.73,2,3,1000,4000
231,72,MPLS_1,68,7,0.67,2,3,1200,4800
232,72,Internet,150,12,7.0,6,6,600,0
233,73,MPLS_2,71,8,0.5,17,31,13600,3200
234,73,MPLS_1,113,14,1.86,40,69,20000,3000
235,73,Internet,212,20,9.0,51,51,5100,0
236,74,MPLS_1,62,12,0.52,4,7,3200,6400
237,74,MPLS_0,61,10,0.44,5,7,3000,5400
238,74,MPLS_2,145,14,1.46,27,45,13500,2000
239,74,Internet,215,17,7.0,12,12,1200,0
240,75,MPLS_0,73,8,0.48,14,27,7000,3000
241,75,MPLS_2,133,14,1.23,78,142,54600,5600
242,75,MPLS_1,80,11,0.43,13,24,6500,3000
243,75,Internet,190,20,1.0,52,52,5200,0
244,76,MPLS_2,104,15,1.57,31,60,18600,1800
245,76,MPLS_1,89,13,0.62,9,14,6300,3500
246,76,Internet,193,17,10.0,31,31,3100,0
247,77,MPLS_0,73,10,0.41,66,129,52800,4800
248,77,Internet,210,13,1.0,47,47,4700,0
249,78,MPLS_2,71,9,0.47,62,103,49600,3200
250,78,MPLS_1,139,16,1.23,317,543,253600,2400
251,78,MPLS_0,73,13,0.71,58,113,46400,6400
252,78,Internet,206,18,5.0,340,340,34000,0
253,79,MPLS_0,148,16,1.3,11,21,7700,6300
254,79,MPLS_2,84,7,0.48,4,6,2400,5400
255,79,Internet,160,16,8.0,8,8,800,0
256,80,MPLS_2,145,16,1.37,88,142,70400,2400
257,80,MPLS_0,83,11,0.72,39,77,19500,4500
258,80,Internet,183,18,10.0,80,80,8000,0
259,81,MPLS_1,70,7,0.75,6,10,3000,2000
260,81,MPLS_2,114,14,0.83,14,25,11200,8000
261,81,Internet,147,17,7.0,15,15,1500,0
262,82,MPLS_1,70,8,0.74,7,12,4200,2400
263,82,MPLS_2,128,13,1.23,17,31,13600,5600
264,82,Internet,188,14,7.0,10,10,1000,0
265,83,MPLS_2,86,7,0.77,100,162,60000,4200
266,83,MPLS_0,121,15,1.74,256,433,153600,2400
267,83,Internet,156,19,8.0,186,186,18600,0
268,84,MPLS_2,81,9,0.59,39,64,19500,4500
269,84,MPLS_1,96,16,1.26,106,200,74200,4200
270,84,Internet,152,18,8.0,115,115,11500,0
271,85,MPLS_0,134,15,1.22,96,150,76800,4800
272,85,MPLS_2,64,11,0.64,45,82,27000,4800
273,85,Internet,178,12,10.0,48,48,4800,0
274,86,MPLS_0,133,15,1.71,394,693,275800,7000
275,86,MPLS_2,68,10,0.69,214,425,149800,3500
276,86,Internet,184,15,6.0,318,318,31800,0
277,87,MPLS_1,92,13,1.73,51,83,30600,4800
278,87,MPLS_0,79,11,0.48,23,34,16100,2800
279,87,Internet,177,15,2.0,38,38,3800,0
280,88,MPLS_0,85,16,1.11,160,312,112000,7000
281,88,MPLS_1,74,10,0.56,35,62,17500,5000
282,88,MPLS_2,89,13,0.7,33,52,23100,5600
283,88,Internet,147,18,1.0,167,167,16700,0
284,89,MPLS_0,118,15,1.33,25,41,17500,2800
285,89,MPLS_1,80,8,0.44,10,18,8000,4000
286,89,Internet,151,20,3.0,29,29,2900,0
287,90,MPLS_2,79,9,0.66,10,15,8000,4000
288,90,MPLS_0,120,13,2.05,71,123,42600,1800
289,90,MPLS_1,73,12,0.64,12,19,8400,2800
290,90,Internet,183,12,6.0,67,67,6700,0
291,91,MPLS_0,61,9,0.72,3,4,1800,4200
292,91,MPLS_1,142,12,1.55,16,28,12800,3200
293,91,MPLS_2,60,8,0.77,3,5,2400,6400
294,91,Internet,201,16,10.0,11,11,1100,0
295,92,MPLS_2,70,12,0.66,6,10,3600,2400
296,92,MPLS_1,85,14,1.44,15,25,12000,5600
297,92,Internet,146,16,8.0,15,15,1500,0
298,93,MPLS_2,131,12,1.18,15,26,7500,4000
299,93,MPLS_1,73,11,0.57,7,12,4200,4200
300,93,Internet,152,16,8.0,12,12,1200,0
301,94,MPLS_0,146,14,1.8,6,11,4800,3200
302,94,MPLS_1,71,9,0.61,2,3,1600,8000
303,94,Internet,195,18,10.0,5,5,500,0
304,95,MPLS_0,76,12,0.72,2,3,1200,1800
305,95,MPLS_2,116,16,1.48,9,15,4500,4500
306,95,MPLS_1,66,11,0.51,2,3,1200,4800
307,95,Internet,153,12,9.0,12,12,1200,0
308,96,MPLS_0,100,14,1.88,9,13,6300,2800
309,96,MPLS_2,85,12,0.52,2,3,1600,8000
310,96,MPLS_1,81,13,0.42,2,3,1000,4500
311,96,Internet,181,20,8.0,12,12,1200,0
312,97,MPLS_0,76,10,0.71,14,23,11200,5600
313,97,MPLS_2,82,8,0.49,14,23,7000,3500
314,97,MPLS_1,150,13,1.11,79,142,55300,2100
315,97,Internet,197,13,3.0,41,41,4100,0
316,98,MPLS_2,77,11,0.52,41,79,24600,6000
317,98,MPLS_1,125,13,1.33,205,334,164000,4800
318,98,MPLS_0,69,7,0.58,38,65,22800,1800
319,98,Internet,155,18,3.0,215,215,21500,0
320,99,MPLS_0,75,8,0.49,12,21,9600,4000
321,99,MPLS_2,139,16,0.82,51,92,40800,7200
322,99,MPLS_1,66,13,0.54,10,16,5000,5000
323,99,Internet,214,15,7.0,50,50,5000,0
