LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
170,52,MPLS_2,86,7,0.49,10,18,8000,2400
171,52,MPLS_1,112,16,1.81,29,55,20300,2800
172,52,Internet,172,16,2.0,21,21,2100,0
173,53,MPLS_0,91,14,1.4,65,109,52000,2400
174,53,MPLS_2,70,11,0.55,12,20,7200,4800
175,53,MPLS_1,62,13,0.48,12,19,8400,4900
176,53,Internet,199,17,5.0,57,57,5700,0
177,54,MPLS_1,71,10,0.41,0,0,0,3600
178,54,MPLS_0,72,7,0.5,0,0,0,3600
179,54,MPLS_2,125,15,1.54,4,7,3200,7200
180,54,Internet,181,12,1.0,2,2,200,0
181,55,MPLS_2,97,12,1.63,16,25,11200,2800
182,55,MPLS_1,83,12,0.56,7,13,4900,4200
183,55,Internet,149,19,10.0,16,16,1600,0
184,56,MPLS_0,70,10,0.64,53,103,31800,3600
185,56,MPLS_2,77,8,0.66,62,114,31000,4500
186,56,MPLS_1,96,12,1.35,254,497,177800,2800
187,56,Internet,167,17,10.0,141,141,14100,0
188,57,MPLS_2,89,9,0.44,1,1,700,5600
189,57,MPLS_0,85,15,1.67,9,16,6300,7000
190,57,MPLS_1,62,13,0.46,1,1,700,2800
191,57,Internet,173,18,5.0,6,6,600,0
192,58,MPLS_2,88,7,0.57,34,65,20400,4800
193,58,MPLS_1,134,16,0.89,81,128,64800,8000
194,58,Internet,216,19,6.0,80,80,8000,0
195,59,MPLS_2,89,7,0.75,6,11,4200,2100
196,59,MPLS_1,67,7,0.53,5,7,3000,3600
197,59,MPLS_0,149,13,1.91,31,59,18600,3000
198,59,Internet,214,14,9.0,18,18,1800,0
199,60,MPLS_1,81,11,0.57,6,9,3000,5000
200,60,MPLS_0,69,8,0.62,6,10,3000,3000
201,60,MPLS_2,113,13,1.73,29,47,20300,4200
202,60,Internet,218,12,10.0,18,18,1800,0
203,61,MPLS_1,88,13,0.6,52,78,41600,5600
204,61,MPLS_2,106,14,2.1,267,512,133500,2500
205,61,MPLS_0,85,13,0.45,51,93,30600,2400
206,61,Internet,212,19,4.0,167,167,16700,0
207,62,MPLS_0,87,8,0.54,6,9,3000,3000
208,62,MPLS_2,140,13,1.23,30,58,18000,2400
209,62,MPLS_1,64,7,0.65,7,11,5600,3200
210,62,Internet,175,14,9.0,21,21,2100,0
211,63,MPLS_2,75,10,0.45,115,205,80500,6300
212,63,Internet,156,14,8.0,85,85,8500,0
213,64,MPLS_2,87,7,0.41,18,27,12600,4900
214,64,MPLS_0,110,14,0.93,36,67,18000,2000
215,64,Internet,150,17,7.0,33,33,3300,0
216,65,MPLS_2,118,16,1.71,32,54,19200,6000
217,65,MPLS_0,71,9,0.49,14,26,9800,2100
218,65,Internet,197,16,9.0,36,36,3600,0
219,66,MPLS_1,65,9,0.49,4,6,2000,2000
220,66,MPLS_0,72,8,0.76,4,7,2000,4500
221,66,MPLS_2,145,16,1.88,21,36,12600,3600
222,66,Internet,168,19,3.0,14,14,1400,0
223,67,MPLS_2,62,10,0.75,8,12,5600,4900
224,67,MPLS_0,75,11,0.61,8,14,5600,2100
225,67,MPLS_1,96,12,1.12,34,53,27200,6400
226,67,Internet,219,17,6.0,27,27,2700,0
227,68,MPLS_2,89,7,0.66,41,71,28700,4200
228,68,MPLS_1,68,7,0.74,52,87,36400,4200
229,68,MPLS_0,107,16,1.89,265,462,132500,4000
230,68,Internet,188,16,4.0,179,179,17900,0
231,69,MPLS_0,78,13,0.64,82,163,41000,3500
232,69,MPLS_2,84,13,1.31,260,488,182000,6300
233,69,Internet,160,16,10.0,237,237,23700,0
234,70,MPLS_0,66,8,0.45,16,29,8000,4000
235,70,MPLS_2,81,14,1.81,47,83,28200,5400
236,70,Internet,209,15,6.0,49,49,4900,0
237,71,MPLS_1,80,14,1.6,11,17,6600,4200
238,71,MPLS_0,62,7,0.62,2,3,1000,5000
239,71,MPLS_2,63,10,0.66,2,3,1400,3500
240,71,Internet,185,13,1.0,8,8,800,0
241,72,MPLS_1,83,8,0.62,4,7,2000,2000
242,72,MPLS_0,97,14,1.73,9,15,6300,4900
243,72,Internet,151,19,7.0,6,6,600,0
244,73,MPLS_2,80,12,0.71,23,41,16100,6300
245,73,MPLS_1,139,13,2.1,46,91,27600,4800
246,73,Internet,194,17,7.0,56,56,5600,0
247,74,MPLS_1,86,11,0.69,5,8,3000,3000
248,74,MPLS_0,76,10,0.41,5,8,2500,3000
249,74,MPLS_2,84,16,1.1,23,39,13800,2400
250,74,Internet,143,17,5.0,16,16,1600,0
251,75,MPLS_1,131,12,1.92,60,101,42000,2800
252,75,MPLS_0,75,12,0.57,23,45,18400,7200
253,75,Internet,184,14,4.0,75,75,7500,0
254,76,MPLS_2,65,10,0.46,6,11,3000,3500
255,76,MPLS_1,84,11,0.59,6,9,3600,4200
256,76,MPLS_0,95,14,1.13,32,55,16000,3500
257,76,Internet,150,20,5.0,25,25,2500,0
258,77,MPLS_2,63,12,0.71,17,30,8500,4500
259,77,MPLS_0,104,14,1.07,43,79,30100,7000
260,77,Internet,161,17,8.0,31,31,3100,0
261,78,MPLS_2,129,12,1.4,331,609,198600,1800
262,78,MPLS_1,67,11,0.59,124,210,86800,4900
263,78,Internet,184,12,8.0,331,331,33100,0
264,79,MPLS_2,105,12,1.0,10,18,8000,3200
265,79,MPLS_1,75,9,0.73,3,5,1500,5000
266,79,Internet,176,17,10.0,6,6,600,0
267,80,MPLS_1,88,12,0.6,107,194,53500,4500
268,80,Internet,147,17,5.0,50,50,5000,0
269,81,MPLS_1,76,7,0.68,5,9,3500,4200
270,81,MPLS_2,89,16,1.63,13,22,6500,4500
271,81,Internet,171,14,8.0,8,8,800,0
272,82,MPLS_2,76,8,0.69,8,13,4800,3600
273,82,MPLS_0,104,13,1.72,19,31,9500,4500
274,82,Internet,215,18,7.0,15,15,1500,0
275,83,MPLS_1,70,11,0.4,47,92,37600,7200
276,83,MPLS_0,146,15,1.78,269,425,134500,4000
277,83,MPLS_2,66,13,0.72,46,72,23000,3500
278,83,Internet,185,20,7.0,168,168,16800,0
279,84,MPLS_2,88,10,0.54,38,70,19000,1500
280,84,MPLS_0,110,14,1.01,93,163,46500,4000
281,84,Internet,144,16,8.0,90,90,9000,0
282,85,MPLS_1,84,9,0.71,21,32,10500,2000
283,85,MPLS_2,80,12,0.5,19,37,13300,2100
284,85,MPLS_0,114,13,1.37,83,149,58100,6300
285,85,Internet,177,20,7.0,65,65,6500,0
286,86,MPLS_1,66,12,0.73,549,852,439200,2400
287,86,Internet,189,18,9.0,288,288,28800,0
288,87,MPLS_1,79,9,0.73,12,20,9600,4000
289,87,MPLS_2,62,7,0.78,13,22,7800,4200
290,87,MPLS_0,102,14,2.05,62,94,37200,3000
291,87,Internet,202,18,5.0,33,33,3300,0
292,88,MPLS_0,74,8,0.48,244,391,170800,5600
293,88,Internet,160,15,5.0,190,190,19000,0
294,89,MPLS_0,77,12,0.57,11,20,8800,4800
295,89,MPLS_1,142,13,1.94,26,48,18200,2800
296,89,Internet,174,18,4.0,31,31,3100,0
297,90,MPLS_0,75,7,0.67,31,61,15500,1500
298,90,MPLS_1,129,15,2.02,81,140,56700,5600
299,90,Internet,145,13,9.0,48,48,4800,0
300,91,MPLS_2,83,8,0.76,4,7,3200,4800
301,91,MPLS_1,145,12,0.85,22,34,13200,3600
302,91,MPLS_0,83,11,0.75,4,7,2400,6000
303,91,Internet,141,19,8.0,15,15,1500,0
304,92,MPLS_1,69,11,0.71,4,7,2000,2000
305,92,MPLS_2,86,12,0.49,3,5,2100,4900
306,92,MPLS_0,93,16,1.7,17,31,8500,2000
307,92,Internet,141,15,3.0,11,11,1100,0
308,93,MPLS_0,115,14,1.31,19,31,13300,7000
309,93,MPLS_2,72,11,0.62,9,15,5400,5400
310,93,Internet,220,16,7.0,12,12,1200,0
311,94,MPLS_2,60,10,0.53,1,1,600,2400
312,94,MPLS_0,89,15,1.89,4,7,3200,4800
313,94,Internet,167,19,10.0,2,2,200,0
314,95,MPLS_2,150,14,0.87,9,16,6300,2100
315,95,MPLS_0,80,7,0.55,4,7,2400,3600
316,95,Internet,183,15,3.0,9,9,900,0
317,96,MPLS_1,133,13,0.92,11,18,6600,6000
318,96,MPLS_2,78,7,0.68,4,6,3200,2400
319,96,Internet,153,14,2.0,6,6,600,0
320,97,MPLS_1,63,13,0.48,14,24,11200,8000
321,97,MPLS_0,94,14,0.88,87,154,60900,7000
322,97,MPLS_2,88,9,0.73,12,20,7200,2400
323,97,Internet,154,17,7.0,46,46,4600,0
324,98,MPLS_0,121,16,0.86,224,341,112000,2000
325,98,MPLS_2,62,7,0.63,71,122,35500,3000
326,98,Internet,156,14,4.0,210,210,21000,0
327,99,MPLS_1,132,12,1.43,48,77,24000,4000
328,99,MPLS_2,85,7,0.64,23,39,16100,6300
329,99,Internet,176,19,5.0,47,47,4700,0
330,100,MPLS_1,89,15,0.85,66,127,46200,3500
331,100,MPLS_0,64,10,0.5,23,37,11500,5000
332,100,Internet,178,19,9.0,75,75,7500,0
333,101,MPLS_1,86,7,0.44,5,9,3500,6300
334,101,MPLS_2,96,13,1.29,28,49,16800,6000
335,101,MPLS_0,67,9,0.49,5,9,2500,5000
336,101,Internet,210,18,4.0,19,19,1900,0
337,102,MPLS_0,142,16,1.35,97,178,77600,3200
338,102,MPLS_1,76,11,0.63,55,105,33000,5400
339,102,Internet,206,18,7.0,117,117,11700,0
340,103,MPLS_1,86,7,0.47,3,4,1500,5000
341,103,MPLS_2,103,16,1.18,7,12,4900,4900
342,103,Internet,197,17,2.0,5,5,500,0
343,104,MPLS_2,74,13,0.69,17,32,13600,7200
344,104,Internet,202,15,4.0,10,10,1000,0
345,105,MPLS_1,79,9,0.57,6,10,3600,3600
346,105,MPLS_0,91,15,1.5,43,81,34400,8000
347,105,MPLS_2,83,10,0.57,7,11,3500,2500
348,105,Internet,153,14,1.0,24,24,2400,0
349,106,MPLS_2,78,9,0.4,17,26,11900,2800
350,106,MPLS_1,82,8,0.53,17,28,10200,4800
351,106,MPLS_0,94,13,2.04,85,127,51000,6000
352,106,Internet,213,12,9.0,67,67,6700,0
353,107,MPLS_2,141,16,2.06,9,13,4500,5000
354,107,MPLS_0,71,11,0.67,3,5,1800,3000
355,107,Internet,203,15,9.0,5,5,500,0
356,108,MPLS_0,69,11,0.55,24,42,14400,5400
357,108,Internet,155,18,1.0,18,18,1800,0
358,109,MPLS_2,82,11,0.44,3,5,1500,1500
359,109,MPLS_1,146,13,1.12,8,15,4000,2000
360,109,Internet,198,20,9.0,4,4,400,0
361,110,MPLS_1,73,12,0.66,256,444,204800,6400
362,110,Internet,175,17,2.0,128,128,12800,0
363,111,MPLS_1,66,9,0.67,107,176,53500,1500
364,111,MPLS_0,92,15,1.59,330,536,231000,5600
365,111,Internet,167,17,6.0,162,162,16200,0
366,112,MPLS_2,68,8,0.73,20,38,14000,4200
367,112,MPLS_1,91,12,2.06,60,105,48000,2400
368,112,Internet,168,13,10.0,34,34,3400,0
369,113,MPLS_1,80,11,0.49,24,44,12000,3000
370,113,MPLS_0,102,16,0.94,52,81,26000,5000
371,113,Internet,218,20,7.0,52,52,5200,0
372,114,MPLS_0,65,11,0.4,152,291,91200,2400
373,114,MPLS_2,103,14,1.81,484,782,242000,2000
374,114,Internet,211,16,1.0,311,311,31100,0
375,115,MPLS_1,64,12,0.43,46,91,36800,3200
376,115,MPLS_2,73,7,0.72,44,67,26400,1800
377,115,MPLS_0,145,15,1.03,256,458,153600,2400
378,115,Internet,140,16,1.0,217,217,21700,0
379,116,MPLS_2,117,13,1.29,212,347,169600,2400
380,116,MPLS_1,67,7,0.47,30,50,24000,4000
381,116,MPLS_0,66,13,0.53,45,78,22500,3500
382,116,Internet,208,12,10.0,178,178,17800,0
383,117,MPLS_1,148,15,1.53,68,112,54400,6400
384,117,MPLS_2,86,10,0.51,28,42,16800,2400
385,117,Internet,193,12,1.0,61,61,6100,0
386,118,MPLS_0,147,16,2.03,5,7,3500,5600
387,118,MPLS_2,63,10,0.57,2,3,1600,5600
388,118,Internet,189,14,2.0,5,5,500,0
389,119,MPLS_1,73,9,0.64,24,46,14400,4200
390,119,MPLS_2,93,13,1.3,114,174,79800,4200
391,119,MPLS_0,88,8,0.75,22,43,13200,4800
392,119,Internet,154,12,8.0,98,98,9800,0
393,120,MPLS_1,66,12,0.67,110,185,66000,3600
394,120,MPLS_2,105,13,1.81,285,484,199500,4900
395,120,Internet,209,19,10.0,226,226,22600,0
396,121,MPLS_2,83,9,0.47,82,129,57400,4200
397,121,Internet,194,18,3.0,27,27,2700,0
398,122,MPLS_1,95,12,1.01,45,88,36000,4800
399,122,MPLS_0,73,11,0.46,7,12,4900,6300
400,122,MPLS_2,81,13,0.66,6,9,3000,5000
401,122,Internet,185,18,8.0,32,32,3200,0
402,123,MPLS_2,61,8,0.57,41,73,32800,6400
403,123,MPLS_1,102,12,1.23,118,182,59000,3500
404,123,Internet,167,15,10.0,107,107,10700,0
405,124,MPLS_0,128,14,1.29,25,48,15000,4800
406,124,MPLS_1,62,7,0.61,5,8,3000,6000
407,124,MPLS_2,65,9,0.5,5,7,3500,4200
408,124,Internet,171,14,1.0,28,28,2800,0
409,125,MPLS_0,85,16,1.13,76,125,38000,4000
410,125,MPLS_1,86,11,0.74,31,51,21700,4900
411,125,Internet,146,18,8.0,84,84,8400,0
412,126,MPLS_1,75,13,0.77,13,20,9100,4200
413,126,MPLS_0,78,8,0.43,12,23,8400,2100
414,126,MPLS_2,134,16,1.45,61,119,30500,4000
415,126,Internet,154,17,6.0,55,55,5500,0
416,127,MPLS_2,132,13,1.16,100,160,60000,2400
417,127,MPLS_1,73,10,0.48,35,68,17500,2500
418,127,Internet,153,15,1.0,56,56,5600,0
419,128,MPLS_0,64,10,0.77,8,14,5600,4900
420,128,MPLS_1,85,7,0.75,7,10,3500,2000
421,128,MPLS_2,129,12,2.02,49,90,39200,4800
422,128,Internet,156,17,10.0,28,28,2800,0
423,129,MPLS_2,71,8,0.49,8,12,4800,6000
424,129,MPLS_1,110,15,1.35,26,49,18200,4200
425,129,Internet,186,16,1.0,26,26,2600,0
426,130,MPLS_1,64,11,0.46,13,22,10400,6400
427,130,MPLS_2,118,13,1.93,44,78,26400,6000
428,130,Internet,218,20,1.0,24,24,2400,0
429,131,MPLS_2,83,12,0.5,96,169,67200,4200
430,131,Internet,187,14,3.0,71,71,7100,0
431,132,MPLS_0,88,15,1.97,73,122,58400,8000
432,132,MPLS_1,82,9,0.51,35,61,24500,3500
433,132,Internet,207,14,2.0,83,83,8300,0
434,133,MPLS_2,94,16,1.89,27,46,21600,8000
435,133,MPLS_0,74,13,0.64,11,16,6600,3000
436,133,Internet,207,13,7.0,19,19,1900,0
437,134,MPLS_1,70,11,0.52,5,8,2500,2500
438,134,MPLS_2,109,14,1.79,9,16,7200,6400
439,134,Internet,176,16,9.0,10,10,1000,0
440,135,MPLS_2,65,10,0.58,46,70,32200,3500
441,135,Internet,180,20,9.0,23,23,2300,0
442,136,MPLS_0,60,12,0.73,31,50,18600,3000
443,136,MPLS_2,103,14,0.81,102,202,71400,4200
444,136,Internet,162,13,2.0,109,109,10900,0
445,137,MPLS_1,74,12,0.78,216,343,151200,7000
446,137,Internet,192,18,8.0,97,97,9700,0
447,138,MPLS_1,77,13,0.71,7,11,4900,6300
448,138,MPLS_2,128,12,0.9,39,68,27300,4900
449,138,MPLS_0,81,9,0.41,6,11,4800,2400
450,138,Internet,171,18,9.0,43,43,4300,0
451,139,MPLS_0,84,14,1.04,8,14,5600,2100
452,139,MPLS_1,68,13,0.77,2,3,1400,3500
453,139,Internet,141,19,6.0,4,4,400,0
454,140,MPLS_2,75,7,0.66,8,13,5600,6300
455,140,MPLS_0,117,13,1.33,43,75,25800,3600
456,140,MPLS_1,60,13,0.54,6,9,4200,5600
457,140,Internet,183,18,1.0,30,30,3000,0
458,141,MPLS_0,75,13,0.73,5,9,3500,7000
459,141,MPLS_1,134,16,1.91,26,46,18200,7000
460,141,MPLS_2,76,12,0.61,5,9,4000,5600
461,141,Internet,185,17,10.0,20,20,2000,0
462,142,MPLS_0,139,14,1.29,25,45,17500,2800
463,142,MPLS_2,63,13,0.47,7,10,5600,7200
464,142,Internet,215,13,8.0,20,20,2000,0
465,143,MPLS_0,120,13,1.67,178,351,142400,6400
466,143,MPLS_2,72,12,0.66,78,139,46800,6000
467,143,Internet,200,17,10.0,177,177,17700,0
468,144,MPLS_1,119,13,1.64,166,315,116200,7000
469,144,MPLS_2,88,9,0.67,35,65,24500,4200
470,144,MPLS_0,74,7,0.63,42,78,29400,6300
471,144,Internet,165,13,9.0,140,140,14000,0
472,145,MPLS_1,93,12,0.86,77,141,38500,3500
473,145,MPLS_2,64,13,0.45,13,22,6500,4500
474,145,MPLS_0,77,10,0.45,13,21,7800,2400
475,145,Internet,145,15,8.0,49,49,4900,0
476,146,MPLS_2,120,15,1.9,62,95,31000,3500
477,146,MPLS_1,89,8,0.43,19,30,9500,3000
478,146,Internet,151,17,8.0,53,53,5300,0
479,147,MPLS_1,89,8,0.6,9,17,5400,5400
480,147,MPLS_0,84,12,1.53,25,45,17500,2800
481,147,Internet,209,12,8.0,19,19,1900,0
482,148,MPLS_1,110,16,1.44,229,422,160300,3500
483,148,MPLS_2,86,7,0.49,113,210,90400,2400
484,148,Internet,220,17,9.0,192,192,19200,0
485,149,MPLS_2,143,16,0.9,36,62,25200,5600
486,149,MPLS_0,70,9,0.59,16,24,8000,2500
487,149,Internet,202,16,3.0,51,51,5100,0
488,150,MPLS_0,131,15,1.64,31,54,24800,4000
489,150,MPLS_2,77,11,0.51,14,25,8400,6000
490,150,Internet,170,20,3.0,23,23,2300,0
491,151,MPLS_0,116,14,1.96,29,49,20300,7000
492,151,MPLS_1,89,12,0.46,11,17,7700,3500
493,151,Internet,189,18,6.0,23,23,2300,0
494,152,MPLS_0,85,8,0.75,22,41,15400,2100
495,152,MPLS_2,95,12,1.37,80,144,56000,2100
496,152,Internet,147,17,10.0,40,40,4000,0
497,153,MPLS_1,81,9,0.74,72,119,50400,4900
498,153,MPLS_2,136,12,1.88,151,231,120800,6400
499,153,Internet,216,18,6.0,189,189,18900,0
